,,,,,,,,,,
,Acidentes com,,Vítimas,,,,,,Total de,
,,,,,Feridos graves,,Feridos leves,,,
,vítimas,,mortais,,,,,,vítimas,
,,,,,,,,,,
,,,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003
,,,,,,,,,,
Auto-Estrada,1980,2076,101,111,265,258,2834,2954,3200,3323
,,,,,,,,,,
Estrada Nacional,12691,12377,682,610,1684,1663,16491,15920,18857,18193
,,,,,,,,,,
Dentro Localidade,5844,5915,237,227,631,706,7448,7433,8316,8366
Fora Localidade,6847,6462,445,383,1053,957,9043,8487,10541,9827
IP/IC,2139,2068,160,152,306,278,3009,2794,3475,3224
,,,,,,,,,,
Dentro Localidade,186,253,9,6,18,26,245,323,272,355
Fora Localidade,1953,1815,151,146,288,252,2764,2471,3203,2869
Estrada Municipal,5308,4851,204,179,603,660,6481,5829,7288,6668
Dentro Localidade,2271,2046,77,54,253,248,2652,2393,2982,2695
Fora Localidade,3037,2805,127,125,350,412,3829,3436,4306,3973
Arruamentos,19280,19420,274,281,1784,1720,21925,22163,23983,24164
Outras (1),821,703,48,23,128,80,1075,939,1251,1042
,,,,,,,,,,
Dentro Localidade,402,349,16,10,53,34,518,452,587,496
Fora Localidade,419,354,32,13,75,46,557,487,664,546
Total da rede,42219,41495,1469,1356,4770,4659,51815,50599,58054,56614
,,,,,,,,,,
Dentro Localidade,27983,27983,613,578,2739,2734,32788,32764,36140,36076
Fora Localidade,14236,13512,856,778,2031,1925,19027,17835,21914,20538
