,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003
Dentro das localidades,197,163,794,785,6090,5919,7081,6867
Segunda-feira,26,26,112,112,985,888,1123,1026
Terça-feira,30,20,125,105,938,970,1093,1095
Quarta-feira,31,22,117,145,903,978,1051,1145
Quinta-feira,25,28,123,114,940,897,1088,1039
Sexta-feira,34,25,135,129,992,948,1161,1102
Sábado,26,24,110,95,736,701,872,820
Domingo,25,18,72,85,596,537,693,640
Fora das localidades,100,83,112,117,437,407,649,607
Segunda-feira,11,6,15,12,66,70,92,88
Terça-feira,13,10,19,14,62,49,94,73
Quarta-feira,13,15,18,16,65,56,96,87
Quinta-feira,10,11,10,16,46,50,66,77
Sexta-feira,19,13,11,22,78,53,108,88
Sábado,11,10,14,17,62,67,87,94
Domingo,23,18,25,20,58,62,106,100
Total,297,246,906,902,6527,6326,7730,7474
Segunda-feira,37,32,127,124,1051,958,1215,1114
Terça-feira,43,30,144,119,1000,1019,1187,1168
Quarta-feira,44,37,135,161,968,1034,1147,1232
Quinta-feira,35,39,133,130,986,947,1154,1116
Sexta-feira,53,38,146,151,1070,1001,1269,1190
Sábado,37,34,124,112,798,768,959,914
Domingo,48,36,97,105,654,599,799,740
