,,Condutores testados,,,,,,,
,,,Não Infractores,,Infractores,,,,Cond.
,,TAS não,"TAS<=0,2 g/l","TAS>0,2","TAS>=0,5","TAS>=0,8","TAS>=1,2 g/l",Total,Interv.
,,definida,,,"e <0,8 g/l","e <1,2 g/l",,,
,,,,"e <=0,49 g/l",,,,,
Veículos,2002,391,43032,694,261,367,866,1494,52736
Ligeiros,2003,329,42541,691,290,400,943,1633,51880
,,,,,,,,,
,03/02,-62,-485,-3,29,33,77,139,-856
Veículos,2002,20,2949,26,7,4,12,23,3292
Pesados,2003,13,2730,38,5,7,19,31,3072
,,,,,,,,,
,03/02,-7,-218,12,-2,3,7,8,-220
,2002,20,782,15,3,3,24,30,1410
Velocípedes,2003,20,789,16,4,6,26,36,1401
,,,,,,,,,
,03/02,0,7,2,1,3,2,6,-9
,2002,117,3907,131,22,47,169,238,6172
Ciclomotores,2003,119,3820,149,21,41,216,278,5935
,,,,,,,,,
,03/02,2,-83,18,-1,-6,47,40,-237
,2002,55,3389,53,11,24,65,100,4813
Motociclos,2003,52,3321,65,12,19,46,77,4646
,,,,,,,,,
,03/02,-3,-67,12,1,-5,-19,-23,-167
Outros,2002,6,380,9,2,2,4,8,556
Veículos,2003,6,335,4,2,1,6,9,487
,,,,,,,,,
,03/02,0,-44,-5,0,-1,2,1,-69
,2002,609,54439,928,306,447,1140,1893,68979
Total,2003,539,53536,963,334,474,1256,2064,67421
,,,,,,,,,
,03/02,-70,-890,36,28,27,116,171,-1558
