,,,Veículos de instrução,,,,,,,
,,,Motoc.,Ligeiros,Pesados,,,"Veíc..
Agrícolas",Ciclom.,Total
,,,,,C,D,E,,,
,,Braga,199,489,39,11,19,10,5,772
,REGIÃO,Bragança,39,69,17,4,12,4,2,147
,NORTE,Porto,323,890,73,15,20,10,3,1334
,,V. Castelo,74,141,14,8,9,7,1,254
,,Vila Real,46,102,16,3,8,3,2,180
,,,681,1691,159,41,68,34,13,2687
,,Aveiro,144,359,36,5,21,6,9,580
,,C. Branco,43,97,16,5,11,2,4,178
,REGIÃO,Coimbra,98,266,31,7,21,5,5,433
,CENTRO,Guarda,52,108,29,2,12,4,4,211
,,Leiria,107,236,31,5,27,4,10,420
,,Viseu,101,263,41,11,24,6,4,450
,,,545,1329,184,35,116,27,36,2272
,,Lisboa,340,1041,83,15,35,22,12,1548
,REGIÃO LISBOA,Santarém,100,234,46,7,26,10,3,426
,V. TEJO,Setúbal,131,316,24,4,17,5,5,502
,,,571,1591,153,26,78,37,20,2476
,,Beja,48,81,19,4,14,7,3,176
,REGIÃO,Évora,46,90,14,4,8,7,4,173
,ALENTEJO,Portalegre,26,51,12,1,5,5,2,102
,,,120,222,45,9,27,19,9,451
,R. ALGARVE,Faro,115,189,20,7,10,6,18,365
,TOTAL,,2032,5022,561,118,299,123,96,8251
