,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,954,899,883,941,1053,1055,1067,1288,1018,964,771,847,11740
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,93,90,105,95,124,108,113,132,90,101,95,101,1247
,,,,,,,,,,,,,,
REGIÃO,Acid.com mortos,27,21,25,30,35,28,26,41,29,34,32,35,363
,,,,,,,,,,,,,,
CENTRO,Mortos,31,24,27,32,38,35,29,48,30,39,35,41,409
,,,,,,,,,,,,,,
,F.Graves,72,87,103,89,106,102,113,126,84,84,79,89,1134
,,,,,,,,,,,,,,
,F.Leves,1171,1068,1027,1198,1254,1355,1353,1649,1230,1161,923,1018,14407
,,,,,,,,,,,,,,
,Acidentes com vítimas,292,238,251,262,343,300,338,316,302,280,179,215,3316
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,16,19,20,17,41,34,30,24,25,21,18,28,293
,,,,,,,,,,,,,,
Aveiro,Acid.com mortos,5,4,5,7,9,5,6,7,10,7,4,11,80
,,,,,,,,,,,,,,
,Mortos,5,4,6,7,10,7,6,8,10,7,6,11,87
,,,,,,,,,,,,,,
,F.Graves,13,15,24,15,37,35,34,23,20,17,17,21,271
,,,,,,,,,,,,,,
,F.Leves,351,281,297,333,396,385,413,417,370,336,224,247,4050
,,,,,,,,,,,,,,
,Acidentes com vítimas,53,58,50,53,57,60,49,81,69,71,56,59,716
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,11,12,6,7,9,8,9,18,12,8,10,11,121
,,,,,,,,,,,,,,
Castelo,Acid.com mortos,1,4,0,3,3,4,2,4,3,1,1,3,29
,,,,,,,,,,,,,,
Branco,Mortos,1,4,0,3,4,4,2,4,3,1,1,4,31
,,,,,,,,,,,,,,
,F.Graves,10,15,8,6,7,6,10,20,16,8,9,10,125
,,,,,,,,,,,,,,
,F.Leves,47,64,63,56,72,72,74,93,80,86,70,68,845
,,,,,,,,,,,,,,
,Acidentes com vítimas,172,187,164,207,209,218,208,267,172,134,164,168,2270
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,16,12,16,13,13,23,18,23,9,17,14,10,184
,,,,,,,,,,,,,,
Coimbra,Acid.com mortos,3,4,6,8,4,6,7,9,5,12,9,6,79
,,,,,,,,,,,,,,
,Mortos,3,4,7,8,4,6,9,11,5,15,9,6,87
,,,,,,,,,,,,,,
,F.Graves,13,13,12,6,10,20,13,16,10,5,7,8,133
,,,,,,,,,,,,,,
,F.Leves,199,222,190,269,266,281,268,321,202,157,196,218,2789
,,,,,,,,,,,,,,
,Acidentes com vítimas,52,51,42,51,47,27,67,79,54,50,52,46,618
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,8,10,8,18,13,9,14,11,5,6,13,8,123
,,,,,,,,,,,,,,
Guarda,Acid.com mortos,4,1,2,5,4,5,4,4,0,1,6,2,38
,,,,,,,,,,,,,,
,Mortos,5,1,2,6,5,5,5,4,0,1,6,2,42
,,,,,,,,,,,,,,
,F.Graves,4,10,8,21,10,6,12,10,6,5,9,6,107
,,,,,,,,,,,,,,
,F.Leves,60,61,41,76,52,21,79,102,62,55,55,51,715
,,,,,,,,,,,,,,
,Acidentes com vítimas,244,269,252,229,266,296,257,332,280,275,187,209,3096
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,27,23,34,26,34,20,28,31,28,27,21,31,330
,,,,,,,,,,,,,,
Leiria,Acid.com mortos,8,5,6,6,12,3,4,8,8,9,7,10,86
,,,,,,,,,,,,,,
,Mortos,10,8,6,7,12,4,4,8,9,9,8,11,96
,,,,,,,,,,,,,,
,F.Graves,20,22,34,22,27,20,32,28,22,26,19,34,306
,,,,,,,,,,,,,,
,F.Leves,325,328,280,280,305,391,323,443,332,333,229,253,3822
,,,,,,,,,,,,,,
,Acidentes com vítimas,141,96,124,139,131,154,148,213,141,154,133,150,1724
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,15,14,21,14,14,14,14,25,11,22,19,13,196
,,,,,,,,,,,,,,
Viseu,Acid.com mortos,6,3,6,1,3,5,3,9,3,4,5,3,51
,,,,,,,,,,,,,,
,Mortos,7,3,6,1,3,9,3,13,3,6,5,7,66
,,,,,,,,,,,,,,
,F.Graves,12,12,17,19,15,15,12,29,10,23,18,10,192
,,,,,,,,,,,,,,
,F.Leves,189,112,156,184,163,205,196,273,184,194,149,181,2186
,,,,,,,,,,,,,,
