,,,,,,
,Feminino,,Masculino,,Total (1),
,,,,,,
,2002,2003,2002,2003,2002,2003
Vítimas mortais,73,61,759,775,832,836
,,,,,,
<=14,1,0,7,4,8,4
15-19,4,0,57,30,61,30
20-24,14,8,113,129,127,137
25-29,12,15,104,106,116,121
30-34,8,8,85,83,93,91
35-39,2,7,74,79,76,86
40-44,7,4,67,57,74,61
45-49,7,6,55,56,62,62
50-54,5,3,43,48,48,51
55-59,2,3,28,29,30,32
60-64,4,2,27,42,31,44
>=65,7,5,92,105,99,110
Não def.,0,0,7,7,7,7
Feridos graves,356,326,2264,2275,2625,2605
,,,,,,
<=14,2,4,38,36,41,40
15-19,19,23,241,199,260,222
20-24,59,68,354,363,413,431
25-29,70,65,337,361,407,426
30-34,63,30,267,266,330,296
35-39,36,35,193,212,230,247
40-44,31,33,159,152,190,185
45-49,24,24,136,150,160,174
50-54,16,14,109,103,125,117
55-59,9,12,109,101,118,113
60-64,7,9,77,71,84,80
>=65,16,6,199,245,215,251
Não def.,4,3,45,16,52,23
