,,,,,,,,,
,1999,2000,00/99,2001,01/00,2002,02/01,2003,03/02
,,,,,,,,,
Feridos leves,57630,53006,-4624,51247,-1759,51815,568,50599,-1216
,,,,,,,,,
<=5,1662,1479,-183,1375,-104,1369,-6,1362,-7
6-9,1389,1294,-95,1243,-51,1302,59,1210,-92
10-14,1844,1663,-181,1708,45,1555,-153,1628,73
15-19,6592,6094,-498,5155,-939,5103,-52,4692,-411
20-24,9936,8670,-1266,8026,-644,7683,-343,7244,-439
25-29,7287,6536,-751,6611,75,6693,82,6454,-239
30-34,5123,4781,-342,4725,-56,4986,261,4940,-46
35-39,4275,4074,-201,3954,-120,4099,145,3935,-164
40-44,3715,3430,-285,3417,-13,3591,174,3628,37
45-49,3145,3020,-125,2884,-136,2977,93,3138,161
50-54,2661,2578,-83,2468,-110,2551,83,2689,138
55-59,2237,2081,-156,1987,-94,2132,145,2166,34
60-64,2154,2009,-145,2043,34,2020,-23,1941,-79
65-69,1904,1775,-129,1833,58,1864,31,1821,-43
70-74,1510,1412,-98,1432,20,1537,105,1542,5
>=75,1709,1580,-129,1652,72,1801,149,1799,-2
Não def.,487,530,43,734,204,552,-182,410,-142
Total de vítimas,67077,61553,-5524,58510,-3043,58054,-456,56614,-1440
,,,,,,,,,
<=5,1875,1651,-224,1498,-153,1486,-12,1462,-24
6-9,1594,1474,-120,1379,-95,1426,47,1329,-97
10-14,2080,1881,-199,1893,12,1742,-151,1765,23
15-19,7642,7004,-638,5925,-1079,5689,-236,5204,-485
20-24,11416,10075,-1341,9118,-957,8506,-612,8108,-398
25-29,8414,7532,-882,7501,-31,7454,-47,7194,-260
30-34,5862,5495,-367,5330,-165,5574,244,5474,-100
35-39,4941,4662,-279,4499,-163,4559,60,4409,-150
40-44,4275,3971,-304,3849,-122,4013,164,4023,10
45-49,3632,3471,-161,3288,-183,3352,64,3503,151
50-54,3128,2989,-139,2795,-194,2847,52,2977,130
55-59,2622,2405,-217,2266,-139,2408,142,2421,13
60-64,2609,2381,-228,2347,-34,2255,-92,2194,-61
65-69,2334,2166,-168,2145,-21,2155,10,2066,-89
70-74,1847,1731,-116,1737,6,1777,40,1800,23
>=75,2228,2025,-203,2058,33,2143,85,2206,63
Não def.,578,640,62,882,242,668,-214,479,-189
