,,,,,,,,,
,1999,2000,00/99,2001,01/00,2002,02/01,2003,03/02
,,,,,,,,,
Vítimas mortais,1750,1629,-121,1466,-163,1469,3,1356,-113
<=5,34,30,-4,15,-15,15,0,18,3
6-9,20,16,-4,11,-5,15,4,8,-7
10-14,17,20,3,23,3,25,2,22,-3
15-19,146,130,-16,119,-11,111,-8,68,-43
20-24,266,229,-37,216,-13,191,-25,185,-6
25-29,208,180,-28,176,-4,169,-7,160,-9
30-34,142,132,-10,101,-31,129,28,114,-15
35-39,116,112,-4,102,-10,112,10,106,-6
40-44,103,106,3,94,-12,113,19,94,-19
45-49,111,100,-11,78,-22,92,14,100,8
50-54,96,97,1,71,-26,75,4,74,-1
55-59,77,63,-14,72,9,66,-6,55,-11
60-64,99,99,0,69,-30,71,2,67,-4
65-69,79,106,27,83,-23,83,0,71,-12
70-74,84,87,3,75,-12,71,-4,76,5
>=75,137,106,-31,124,18,110,-14,117,7
Não def.,15,16,1,37,21,21,-16,21,0
Feridos Graves,7697,6918,-779,5797,-1121,4770,-1027,4659,-111
,,,,,,,,,
<=5,179,142,-37,108,-34,102,-6,82,-20
6-9,185,164,-21,125,-39,109,-16,111,2
10-14,219,198,-21,162,-36,162,0,115,-47
15-19,904,780,-124,651,-129,475,-176,444,-31
20-24,1214,1176,-38,876,-300,632,-244,679,47
25-29,919,816,-103,714,-102,592,-122,580,-12
30-34,597,582,-15,504,-78,459,-45,420,-39
35-39,550,476,-74,443,-33,348,-95,368,20
40-44,457,435,-22,338,-97,309,-29,301,-8
45-49,376,351,-25,326,-25,283,-43,265,-18
50-54,371,314,-57,256,-58,221,-35,214,-7
55-59,308,261,-47,207,-54,210,3,200,-10
60-64,356,273,-83,235,-38,164,-71,186,22
65-69,351,285,-66,229,-56,208,-21,174,-34
70-74,253,232,-21,230,-2,169,-61,182,13
>=75,382,339,-43,282,-57,232,-50,290,58
Não def.,76,94,18,111,17,95,-16,48,-47
