,,Acidentes,,,,
,Acidentes,,Acidentes,,,
,,com mortos,,,Feridos,Feridos
,com,,com,Mortos,,
,,e/ou,,,graves,leves
,vítimas,,mortos,,,
,,f. graves,,,,
,,,,,,
,,,,,,
REGIÃO LISBOA E VALE TEJO,13297,1750,349,376,1756,15639
,,,,,,
Dentro Localidade,9186,1155,159,166,1178,10212
Fora Localidade,4111,595,190,210,578,5427
Lisboa,7979,895,155,168,910,9348
Dentro Localidade,6078,692,86,91,712,6816
Fora Localidade,1901,203,69,77,198,2532
Santarém,2569,537,105,116,547,2865
Dentro Localidade,1494,315,44,46,326,1523
Fora Localidade,1075,222,61,70,221,1342
Setúbal,2749,318,89,92,299,3426
,,,,,,
Dentro Localidade,1614,148,29,29,140,1873
Fora Localidade,1135,170,60,63,159,1553
