,,,,,,,,,
,1999,2000,00/99,2001,01/00,2002,02/01,2003,03/02
,,,,,,,,,
Vítimas mortais,383,376,-7,332,-44,340,8,274,-66
,,,,,,,,,
Veículos ligeiros,326,325,-1,257,-68,304,47,242,-62
Veículos pesados,12,9,-3,28,19,6,-22,3,-3
Velocípedes,1,1,0,0,-1,0,0,0,0
Ciclomotores,18,16,-2,16,0,8,-8,10,2
Motociclos,23,19,-4,25,6,18,-7,16,-2
Outros,3,6,3,6,0,4,-2,3,-1
Feridos Graves,2045,1776,-269,1565,-211,1239,-326,1152,-87
,,,,,,,,,
Veículos ligeiros,1668,1449,-219,1272,-177,1039,-233,952,-87
Veículos pesados,37,39,2,66,27,39,-27,28,-11
Velocípedes,4,3,-1,8,5,4,-4,4,0
Ciclomotores,185,113,-72,79,-34,72,-7,76,4
Motociclos,132,159,27,128,-31,76,-52,90,14
Outros,19,13,-6,12,-1,9,-3,2,-7
Feridos Leves,18532,17216,-1316,16008,-1208,16002,-6,15643,-359
,,,,,,,,,
Veículos ligeiros,15409,14640,-769,13721,-919,13972,251,13844,-128
Veículos pesados,621,576,-45,546,-30,498,-48,473,-25
Velocípedes,107,49,-58,48,-1,33,-15,28,-5
Ciclomotores,1447,1127,-320,896,-231,771,-125,689,-82
Motociclos,856,758,-98,732,-26,620,-112,531,-89
Outros,92,66,-26,65,-1,108,43,78,-30
Total vítimas,20960,19368,-1592,17905,-1463,17581,-324,17069,-512
,,,,,,,,,
Veículos ligeiros,17403,16414,-989,15250,-1164,15315,65,15038,-277
Veículos pesados,670,624,-46,640,16,543,-97,504,-39
Velocípedes,112,53,-59,56,3,37,-19,32,-5
Ciclomotores,1650,1256,-394,991,-265,851,-140,775,-76
Motociclos,1011,936,-75,885,-51,714,-171,637,-77
Outros,114,85,-29,83,-2,121,38,83,-38
