,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003
,,,,,,,,
Dentro das localidades (1),197,163,794,785,6090,5919,7081,6867
,,,,,,,,
Dia,98,103,543,513,4558,4445,5199,5061
,,,,,,,,
Noite,99,58,241,267,1450,1439,1790,1764
,,,,,,,,
Fora das localidades (1),100,83,112,117,437,407,649,607
,,,,,,,,
Dia,29,24,53,63,272,264,354,351
,,,,,,,,
Noite,71,59,59,54,165,143,295,256
,,,,,,,,
Total (1),297,246,906,902,6527,6326,7730,7474
,,,,,,,,
Dia,127,127,596,576,4830,4709,5553,5412
,,,,,,,,
Noite,170,117,300,321,1615,1582,2085,2020
