,,Acidentes c/,,Feridos,Feridos,Total de
,,,Mortos,,,
,,vítimas,,graves,leves,vítimas
,,,,,,
,Atropelamentos,2112,65,229,2014,2308
REGIÃO,Colisão,7045,155,532,9780,10467
NORTE,Despiste,2470,112,249,3150,3511
,Total,11627,332,1010,14944,16286
,Atropelamentos,543,26,68,497,591
,Colisão,1967,40,150,2802,2992
Braga,Despiste,541,25,54,697,776
,Total,3051,91,272,3996,4359
,Atropelamentos,65,2,19,51,72
,Colisão,194,9,41,254,304
Bragança,Despiste,223,13,41,276,330
,Total,482,24,101,581,706
,Atropelamentos,1268,34,115,1245,1394
,Colisão,3873,62,237,5326,5625
Porto,Despiste,1161,45,117,1475,1637
,Total,6302,141,469,8046,8656
,Atropelamentos,131,1,13,124,138
,Colisão,625,30,55,854,939
V.Castelo,Despiste,297,14,22,382,418
,Total,1053,45,90,1360,1495
,Atropelamentos,105,2,14,97,113
,Colisão,386,14,49,544,607
V.Real,Despiste,248,15,15,320,350
,Total,739,31,78,961,1070
