,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003
Em marcha normal,643,649,2062,2079,22427,22169,25132,24897
Inversão do sentido de marcha,3,7,18,14,145,152,166,173
Início da marcha,3,3,14,10,174,174,191,187
Marcha atrás,1,1,3,2,43,36,47,39
Mudança de direcção para a direita,6,3,18,32,348,391,372,426
Mudança de direcção para a esq.,39,55,171,132,2064,1981,2274,2168
Mudança via de trânsito para a dir.,5,2,12,14,108,108,125,124
Mudança via de trânsito para a esq.,30,21,48,57,480,477,558,555
Parado ou estacionado,10,9,22,28,734,707,766,744
Saída parqueamento ou rua particular,13,9,36,28,304,288,353,325
Travagem brusca,12,11,41,44,730,639,783,694
Trânsito em filas paralelas,0,1,2,1,42,45,44,47
Ultrapassagem pela direita,6,4,11,6,114,111,131,121
Ultrapassagem pela esquerda,47,52,122,117,1227,1101,1396,1270
Não definidos,14,9,45,41,346,251,405,301
,,,,,,,,
Total,832,836,2625,2605,29286,28630,32743,32071
