Distrito de Santarém,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN10,93.300,93.500,8,15,0,1,15,55
EN113,25.350,25.500,5,6,0,4,1,43
EN118,33.000,33.200,5,8,1,0,4,112
A1 (2),47.800,48.000,5,12,0,4,19,97
,,Total,23,41,1,9,39,
,,,,,,,,
,,,,,,,,
Distrito de Setúbal,,,,,,,,
,,,,,,,,
EN10,16.950,17.130,6,11,0,0,9,27
EN10,22.500,22.680,6,12,0,0,7,21
EN10-3,2.800,3.000,5,8,2,0,4,212
EN252,16.100,16.300,5,8,0,0,8,24
EN5,34.900,35.050,8,10,1,0,12,136
EN9,7.000,7.100,5,7,2,0,7,221
A2 (1),5.400,5.600,6,12,1,0,7,121
A2 (2),5.500,5.650,5,17,0,0,7,21
A2 (1),5.950,6.100,5,15,0,1,15,55
IC20,0.900,1.100,5,8,0,0,8,24
IC20,1.400,1.600,5,12,0,0,7,21
IC3,2.700,2.900,5,7,0,0,7,21
,,Total,66,127,6,1,98,
,,,,,,,,
,,,,,,,,
(1) Sentido crescente da quilometrag em,,,,,,,,
(2) Sentido decrescente da quilometragem,,,,,,,,
