,,,,,,,,,,,,
,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,,,,,,,Feridos leves,,,,,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Colisão,23428,22525,662,645,2470,2283,31082,29864,34214,32792,"2,8","2,9"
Dentro Localidade,16209,15995,243,261,1349,1323,20549,20325,22141,21909,"1,5","1,6"
Fora Localidade,7219,6530,419,384,1121,960,10533,9539,12073,10883,"5,8","5,9"
,,,,,,,,,,,,
Despiste,11662,12084,508,469,1397,1485,14123,14380,16028,16334,"4,4","3,9"
Dentro Localidade,5249,5662,173,155,595,640,6120,6523,6888,7318,"3,3","2,7"
Fora Localidade,6413,6422,335,314,802,845,8003,7857,9140,9016,"5,2","4,9"
,,,,,,,,,,,,
Atropelamento,7129,6886,299,242,903,891,6610,6355,7812,7488,"4,2","3,5"
Dentro Localidade,6525,6326,197,162,795,771,6119,5916,7111,6849,"3,0","2,6"
Fora Localidade,604,560,102,80,108,120,491,439,701,639,"16,9","14,3"
,,,,,,,,,,,,
Total,42219,41495,1469,1356,4770,4659,51815,50599,58054,56614,"3,5","3,3"
Dentro Localidade,27983,27983,613,578,2739,2734,32788,32764,36140,36076,"2,2","2,1"
Fora Localidade,14236,13512,856,778,2031,1925,19027,17835,21914,20538,"6,0","5,8"
