,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003
Dentro das localidades,197,163,794,785,6090,5919,7081,6867
Atravessamento na passadeira,19,24,151,146,1522,1623,1692,1793
Atravessamento fora passadeira,57,39,243,224,1533,1384,1833,1647
Em plena faixa rodagem,59,52,247,223,1428,1447,1734,1722
Transitando esq/dir da faixa rodagem,32,22,50,63,462,508,544,593
Outras,25,20,73,93,729,703,827,816
Não definido,5,6,30,36,416,254,451,296
Fora das localidades,100,83,112,117,437,407,649,607
Atravessamento na passadeira,2,1,5,9,29,29,36,39
Atravessamento fora passadeira,25,11,23,34,124,69,172,114
Em plena faixa rodagem,37,42,43,36,99,115,179,193
Transitando esq/dir da faixa rodagem,20,12,19,16,94,83,133,111
Outras,13,14,20,18,79,92,112,124
Não definido,3,3,2,4,12,19,17,26
Total,297,246,906,902,6527,6326,7730,7474
Atravessamento na passadeira,21,25,156,155,1551,1652,1728,1832
Atravessamento fora passadeira,82,50,266,258,1657,1453,2005,1761
Em plena faixa rodagem,96,94,290,259,1527,1562,1913,1915
Transitando esq/dir da faixa rodagem,52,34,69,79,556,591,677,704
Outras,38,34,93,111,808,795,939,940
Não definido,8,9,32,40,428,273,468,322
