,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003
,,,,,,,,
Com capacete/cinto segurança,255,199,985,934,13079,13052,14319,14185
,,,,,,,,
Com sistema retenção criança,2,1,19,17,477,624,498,642
,,,,,,,,
Sem capacete/cinto segurança,70,67,192,159,1809,1440,2071,1666
,,,,,,,,
Sem sistema retenção criança,6,5,15,16,205,196,226,217
,,,,,,,,
Não definido,7,2,28,26,432,331,467,359
,,,,,,,,
Total,340,274,1239,1152,16002,15643,17581,17069
