,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,799,707,825,979,1015,1036,1029,1214,921,1104,987,1011,11627
,Acid.c/ mortos e f.graves,60,82,76,82,93,105,105,122,104,99,77,89,1094
REGIÃO,Acid.com mortos,19,17,25,22,24,28,33,33,36,28,15,21,301
NORTE,Mortos,21,18,27,24,25,30,39,36,41,31,16,24,332
,F.Graves,52,70,63,84,92,101,84,113,82,101,80,88,1010
,F.Leves,976,846,1042,1286,1306,1357,1300,1674,1189,1410,1261,1297,14944
,Acidentes com vítimas,253,227,242,265,291,234,307,298,167,289,221,257,3051
,Acid.c/ mortos e f.graves,26,28,18,18,33,26,31,31,30,29,22,17,309
Braga,Acid.com mortos,6,9,6,6,8,6,10,13,8,10,2,3,87
,Mortos,6,10,6,6,8,6,13,13,8,10,2,3,91
,F.Graves,22,22,14,17,38,24,26,18,25,24,26,16,272
,F.Leves,315,278,318,367,365,323,405,418,212,372,296,327,3996
,Acidentes com vítimas,32,31,39,35,34,46,43,67,34,39,42,40,482
,Acid.c/ mortos e f.graves,3,2,4,5,7,11,12,17,11,11,6,7,96
Bragança,Acid.com mortos,1,0,1,0,2,4,2,6,4,1,0,0,21
,Mortos,1,0,1,0,2,4,2,8,4,2,0,0,24
,F.Graves,2,2,4,7,8,12,11,16,7,17,6,9,101
,F.Leves,37,44,45,48,45,61,41,90,33,32,53,52,581
,Acidentes com vítimas,411,353,413,536,546,590,521,627,554,616,570,565,6302
,Acid.c/ mortos e f.graves,25,42,43,46,33,46,42,54,50,41,34,48,504
Porto,Acid.com mortos,9,7,13,11,5,11,14,7,19,10,6,14,126
,Mortos,10,7,14,12,5,12,17,8,21,11,7,17,141
,F.Graves,20,37,37,46,32,43,33,61,39,42,35,44,469
,F.Leves,494,406,518,668,704,761,653,863,728,802,715,734,8046
,Acidentes com vítimas,54,58,76,78,87,91,102,124,106,90,95,92,1053
,Acid.c/ mortos e f.graves,1,6,7,8,11,9,12,12,10,10,7,7,100
V.Castelo,Acid.com mortos,0,1,3,3,6,2,5,4,5,6,3,0,38
,Mortos,0,1,4,4,6,3,5,4,8,7,3,0,45
,F.Graves,5,5,5,10,6,9,7,12,8,7,7,9,90
,F.Leves,63,74,94,110,117,117,127,166,135,115,128,114,1360
,Acidentes com vítimas,49,38,55,65,57,75,56,98,60,70,59,57,739
,Acid.c/ mortos e f.graves,5,4,4,5,9,13,8,8,3,8,8,10,85
V.Real,Acid.com mortos,3,0,2,2,3,5,2,3,0,1,4,4,29
,Mortos,4,0,2,2,4,5,2,3,0,1,4,4,31
,F.Graves,3,4,3,4,8,13,7,6,3,11,6,10,78
,F.Leves,67,44,67,93,75,95,74,137,81,89,69,70,961
