,,,CONTRA-ORDENAÇÕES,,,
,,,M. Graves,Graves,Leves,Total (1)
,,Braga,1 625,10 348,60 544,72 532
REGIÃO,,Bragança,712,6 511,11 345,18 568
NORTE,,Porto,2 037,29 169,187 895,219 123
,,V. Castelo,930,6 103,21 816,28 850
,,Vila Real,656,6 264,17 590,24 513
,,,5 960,58 395,299 190,363 586
,,Aveiro,2 254,14 772,67 908,84 947
,,C. Branco,750,7 329,17 559,25 642
REGIÃO,,Coimbra,830,7 894,45 046,53 772
CENTRO,,Guarda,466,6 597,18 225,25 290
,,Leiria,2 994,16 227,42 544,61 773
,,Viseu,1 157,11 010,42 747,54 923
,,,8 451,63 829,234 029,306 347
REGIÃO DE,,Lisboa,5 784,48 196,269 764,323 791
LISBOA,,Santarém,2 107,13 154,41 261,56 531
E VALE TEJO,,Setúbal,2 831,20 508,58 470,81 817
,,,10 722,81 858,369 495,462 139
,,Beja,1 005,6 558,16 498,24 063
REGIÃO DO,,Évora,732,4 610,23 231,28 577
ALENTEJO,,Portalegre,630,5 871,11 909,18 412
,,,2 367,17 039,51 638,71 052
R. ALGARVE,,Faro,1 644,13 820,47 324,62 794
TOTAL,,,29 144,234 941,1 001 676,1 265 918
,,,,,,
