,,Acidentes,,,,
,Acidentes,com mortos,Acidentes,Mortos,Feridos,Feridos leves
,com vítimas,,com mortos,,graves,
,,e/ou f. graves,,,,
,,,,,,
,,,,,,
REGIÃO ALENTEJO,2064,415,111,131,402,2443
,,,,,,
Dentro Localidade,656,82,11,11,84,691
Fora Localidade,1408,333,100,120,318,1752
Beja,743,149,47,56,138,931
Dentro Localidade,172,24,3,3,23,181
Fora Localidade,571,125,44,53,115,750
Évora,818,149,38,46,147,931
Dentro Localidade,312,32,4,4,34,339
Fora Localidade,506,117,34,42,113,592
Portalegre,503,117,26,29,117,581
Dentro Localidade,172,26,4,4,27,171
Fora Localidade,331,91,22,25,90,410
