REGIÃO DO ALGARVE,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,180,179,214,205,250,262,291,314,278,220,196,178,2767
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,25,28,28,28,41,38,42,37,31,27,31,32,388
,,,,,,,,,,,,,,
Faro,Acid.com mortos,7,8,8,4,15,9,9,8,6,6,10,8,98
,,,,,,,,,,,,,,
,Mortos,11,8,8,4,15,9,10,9,6,6,14,8,108
,,,,,,,,,,,,,,
,F.Graves,23,21,27,26,32,34,41,39,31,27,24,32,357
,,,,,,,,,,,,,,
,F.Leves,199,201,229,241,274,287,337,398,323,258,223,196,3166
,,,,,,,,,,,,,,
