Distrito de Faro,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN125,50.700,50.820,7,16,0,0,8,24
EN125,98.700,98.850,7,15,0,0,16,48
EN125,100.300,100.500,7,14,0,0,8,24
EN125,102.300,102.500,5,8,0,0,9,27
EN125,110.500,110.500,8,17,0,0,11,33
EN125,113.000,113.200,6,9,0,1,5,25
EN125,113.500,113.600,5,7,0,1,5,25
EN125,114.000,114.200,7,11,0,0,7,21
EN125,118.500,118.700,5,9,3,1,4,322
EN125,150.300,150.500,5,8,0,1,14,52
EN125-4,5.000,5.200,5,13,0,1,6,28
EN395,59.400,59.600,7,13,0,1,12,46
,,,,,,,,
,,Total,74,140,3,6,105,
