,Vítimas mortais,,,,,,,
,Condutores,,Passageiros,,Peões,,Total de utentes,
,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003
,,,,,,,,
Auto-Estrada,57,64,35,37,9,10,101,111
Estrada Nacional,387,403,160,128,135,79,682,610
Dentro Localidade,135,151,34,38,68,38,237,227
Fora Localidade,252,252,126,90,67,41,445,383
IP/IC,99,92,45,38,16,22,160,152
Dentro Localidade,3,5,0,0,6,1,9,6
Fora Localidade,96,87,45,38,10,21,151,146
Estrada Municipal,136,119,44,36,24,24,204,179
Dentro Localidade,47,33,15,8,15,13,77,54
Fora Localidade,89,86,29,28,9,11,127,125
Arruamentos,122,139,45,32,107,110,274,281
Outras (1),31,19,11,3,6,1,48,23
Dentro Localidade,10,8,5,1,1,1,16,10
Fora Localidade,21,11,6,2,5,0,32,13
Total da rede,832,836,340,274,297,246,1469,1356
Dentro Localidade,317,336,99,79,197,163,613,578
Fora Localidade,515,500,241,195,100,83,856,778
