,,,,,,
,Feminino,,Masculino,,Total (1),
,,,,,,
,2002,2003,2002,2003,2002,2003
Vítimas mortais,95,84,201,162,297,246
,,,,,,
<=5,2,6,1,4,3,10
6-9,3,3,4,2,7,5
10-14,2,3,6,1,8,4
15-19,2,2,1,2,3,4
20-24,2,0,4,5,6,5
25-29,3,0,9,4,12,4
30-34,3,2,10,5,13,7
35-39,2,3,15,6,17,9
40-44,3,1,19,18,22,19
45-49,3,5,14,12,17,17
50-54,5,5,8,8,13,13
55-59,7,2,15,9,22,11
60-64,10,3,19,9,29,12
>=65,47,48,72,72,119,120
Não def.,1,1,4,5,6,6
Feridos Graves,360,402,545,497,906,902
,,,,,,
<=5,10,21,26,28,36,49
6-9,25,20,30,42,55,62
10-14,29,18,47,17,76,35
15-19,16,18,18,15,34,33
20-24,13,15,20,18,33,33
25-29,15,18,29,13,44,31
30-34,11,16,27,33,38,49
35-39,15,18,32,34,47,53
40-44,19,17,30,31,49,48
45-49,18,19,43,27,61,46
50-54,21,21,28,24,49,45
55-59,18,24,27,26,45,50
60-64,19,29,25,30,44,59
>=65,129,145,152,147,281,293
Não def.,2,3,11,12,14,16
