,,,,,,,,,
,1999,2000,00/99,2001,01/00,2002,02/01,2003,03/02
,,,,,,,,,
,,,,,,,,,
Vítimas mortais,1022,916,-106,838,-78,832,-6,836,4
,,,,,,,,,
Veículos ligeiros,529,461,-68,424,-37,442,18,432,-10
,,,,,,,,,
Veículos pesados,28,29,1,24,-5,17,-7,28,11
,,,,,,,,,
Velocípedes,35,48,13,44,-4,51,7,55,4
,,,,,,,,,
Ciclomotores,204,181,-23,145,-36,119,-26,128,9
,,,,,,,,,
Motociclos,199,167,-32,176,9,179,3,171,-8
,,,,,,,,,
Outros,27,30,3,25,-5,24,-1,22,-2
,,,,,,,,,
Feridos Graves,4115,3777,-338,3134,-643,2625,-509,2605,-20
Veículos ligeiros,1881,1872,-9,1594,-278,1419,-175,1339,-80
Veículos pesados,78,76,-2,69,-7,52,-17,52,0
Velocípedes,213,163,-50,136,-27,136,0,129,-7
Ciclomotores,1116,860,-256,665,-195,535,-130,552,17
,,,,,,,,,
Motociclos,785,773,-12,650,-123,458,-192,495,37
,,,,,,,,,
Outros,42,33,-9,20,-13,25,5,38,13
,,,,,,,,,
Feridos Leves,32253,29316,-2937,28650,-666,29286,636,28630,-656
,,,,,,,,,
Veículos ligeiros,17540,17066,-474,17219,153,18609,1390,18456,-153
,,,,,,,,,
Veículos pesados,604,555,-49,519,-36,545,26,519,-26
,,,,,,,,,
Velocípedes,1353,1060,-293,1143,83,1145,2,1154,9
Ciclomotores,8465,6562,-1903,5727,-835,5026,-701,4793,-233
Motociclos,4106,3912,-194,3878,-34,3750,-128,3555,-195
Outros,185,161,-24,164,3,211,47,153,-58
,,,,,,,,,
Total vítimas,37390,34009,-3381,32622,-1387,32743,121,32071,-672
,,,,,,,,,
Veículos ligeiros,19950,19399,-551,19237,-162,20470,1233,20227,-243
,,,,,,,,,
Veículos pesados,710,660,-50,612,-48,614,2,599,-15
,,,,,,,,,
Velocípedes,1601,1271,-330,1323,52,1332,9,1338,6
,,,,,,,,,
Ciclomotores,9785,7603,-2182,6537,-1066,5680,-857,5473,-207
,,,,,,,,,
Motociclos,5090,4852,-238,4704,-148,4387,-317,4221,-166
,,,,,,,,,
Outros,254,224,-30,209,-15,260,51,213,-47
