,,,,,,,,,,,,
,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,,,,,,,Feridos leves,,,,,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003,2002,2003
,,,,,,,,,,,,
,,,,,,,,,,,,
Dia (1),29558,29319,798,798,2995,2864,36072,35623,39865,39285,"2,7","2,7"
,,,,,,,,,,,,
Bom tempo,23686,24055,646,649,2436,2373,28431,28549,31513,31571,"2,7","2,7"
Chuva,5621,5034,142,136,526,461,7308,6782,7976,7379,"2,5","2,7"
Outros (2),197,230,10,13,28,30,257,292,295,335,"5,1","5,7"
Noite (1),12411,12042,665,554,1750,1782,15484,14833,17899,17169,"5,4","4,6"
,,,,,,,,,,,,
Bom tempo,9024,8956,500,433,1335,1381,11193,10864,13028,12678,"5,5","4,8"
Chuva,3182,2903,155,106,375,366,4024,3737,4554,4209,"4,9","3,7"
Outros (2),188,183,10,15,33,35,253,232,296,282,"5,3","8,2"
Não definido (1),250,134,6,4,25,13,259,143,290,160,-,-
,,,,,,,,,,,,
Bom tempo,13,15,0,2,0,0,18,18,18,20,-,-
Chuva,2,5,1,0,0,0,1,10,2,10,-,-
Outros (2),1,114,1,2,0,13,0,115,1,130,-,-
Total dia e noite,41969,41361,1463,1352,4745,4646,51556,50456,57764,56454,"3,5","3,3"
,,,,,,,,,,,,
Bom tempo,32723,33026,1146,1084,3771,3754,39642,39431,44559,44269,"3,5","3,3"
Chuva,8805,7942,298,242,901,827,11333,10529,12532,11598,"3,4","3,0"
Outros (2),386,527,21,30,61,78,510,639,592,747,"5,4","5,7"
