,,,,VM,,,,,,,,,,,,,,,,,,,,,,
,,,,Feminino,,,,,,Masculino,,,,,,N.D.,,,,,,Total,,,,
,,,,2018,,,2019,,,2018,,,2019,,,2018,,,2019,,,2018,,,2019,
,<= 5,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
,5 - 9,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
,10 - 14,,0,,,0,,,0,,,1,,,0,,,0,,,0,,,1,,
,15 - 19,,2,,,1,,,12,,,8,,,0,,,0,,,14,,,9,,
,20 - 24,,8,,,6,,,27,,,32,,,0,,,0,,,35,,,38,,
,25 - 29,,1,,,3,,,25,,,30,,,0,,,0,,,26,,,33,,
,30 - 34,,1,,,2,,,35,,,26,,,0,,,0,,,36,,,28,,
,35 - 39,,4,,,0,,,29,,,39,,,0,,,0,,,33,,,39,,
,40 - 44,,2,,,4,,,39,,,29,,,0,,,0,,,41,,,33,,
,45 - 49,,1,,,1,,,44,,,34,,,0,,,0,,,45,,,35,,
,50 - 54,,1,,,1,,,25,,,25,,,0,,,0,,,26,,,26,,
,55 - 59,,4,,,8,,,23,,,12,,,0,,,0,,,27,,,20,,
,60 - 64,,3,,,1,,,36,,,20,,,0,,,0,,,39,,,21,,
,65 - 69,,5,,,1,,,26,,,27,,,0,,,0,,,31,,,28,,
,70 - 74,,3,,,4,,,18,,,23,,,0,,,0,,,21,,,27,,
,>=75,,8,,,4,,,53,,,40,,,0,,,0,,,61,,,44,,
,N.D.,,0,,,0,,,0,,,0,,,0,,,1,,,0,,,1,,
,Total,,43,,,36,,,392,,,346,,,0,,,1,,,435,,,383,,
