,,,,VM,,,,,,FG,,,,,,FL,,,,,,Total de Vítimas,,,,
,,,,2018,,,2019,,,2018,,,2019,,,2018,,,2019,,,2018,,,2019,
,Jan,,4,,,10,,,25,,,19,,,703,,,782,,,732,,,811,,
,Fev,,3,,,6,,,23,,,19,,,697,,,606,,,723,,,631,,
,Mar,,4,,,5,,,22,,,31,,,842,,,826,,,868,,,862,,
,Abr,,4,,,6,,,26,,,22,,,733,,,824,,,763,,,852,,
,Mai,,6,,,12,,,36,,,28,,,782,,,802,,,824,,,842,,
,Jun,,11,,,6,,,33,,,34,,,879,,,824,,,923,,,864,,
,Jul,,5,,,10,,,32,,,37,,,846,,,931,,,883,,,978,,
,Ago,,13,,,15,,,54,,,65,,,1 075,,,1 167,,,1 142,,,1 247,,
,Set,,9,,,17,,,42,,,38,,,897,,,942,,,948,,,997,,
,Out,,5,,,11,,,32,,,22,,,905,,,837,,,942,,,870,,
,Nov,,9,,,7,,,22,,,23,,,754,,,870,,,785,,,900,,
,Dez,,11,,,4,,,27,,,30,,,933,,,838,,,971,,,872,,
,Total,,84,,,109,,,374,,,368,,,10 046,,,10 249,,,10 504,,,10 726,,
