,,,VM,,,,,,FG,,,,,,FL,,,,,,Total de Vítimas,,,,
,,,2018,,,2019,,,2018,,,2019,,,2018,,,2019,,,2018,,,2019,
Dentro das localidades,jan,11,,,13,,,23,,,35,,,478,,,487,,,512,,,535,,
,fev,8,,,5,,,23,,,29,,,393,,,368,,,424,,,402,,
,mar,10,,,12,,,27,,,43,,,396,,,451,,,433,,,506,,
,abr,6,,,6,,,24,,,19,,,333,,,330,,,363,,,355,,
,mai,11,,,4,,,25,,,27,,,359,,,432,,,395,,,463,,
,jun,7,,,9,,,27,,,34,,,347,,,339,,,381,,,382,,
,jul,11,,,6,,,29,,,23,,,377,,,357,,,417,,,386,,
,ago,7,,,10,,,24,,,31,,,350,,,347,,,381,,,388,,
,set,13,,,7,,,27,,,43,,,419,,,375,,,459,,,425,,
,out,15,,,14,,,30,,,28,,,516,,,486,,,561,,,528,,
,nov,8,,,11,,,47,,,34,,,534,,,553,,,589,,,598,,
,dez,19,,,12,,,53,,,24,,,491,,,554,,,563,,,590,,
,Total,,126,,,109,,,359,,,370,,,4 993,,,5 079,,,5 478,,,5 558,
Fora das localidades,jan,2,,,6,,,2,,,3,,,9,,,4,,,13,,,13,,
,fev,2,,,4,,,4,,,2,,,9,,,8,,,15,,,14,,
,mar,3,,,1,,,3,,,6,,,4,,,6,,,10,,,13,,
,abr,2,,,2,,,2,,,2,,,8,,,10,,,12,,,14,,
,mai,6,,,1,,,4,,,2,,,18,,,3,,,28,,,6,,
,jun,2,,,1,,,1,,,2,,,6,,,16,,,9,,,19,,
,jul,3,,,0,,,2,,,0,,,6,,,10,,,11,,,10,,
,ago,1,,,2,,,3,,,3,,,14,,,9,,,18,,,14,,
,set,1,,,1,,,1,,,6,,,6,,,9,,,8,,,16,,
,out,3,,,2,,,2,,,5,,,9,,,11,,,14,,,18,,
,nov,3,,,2,,,2,,,6,,,12,,,9,,,17,,,17,,
,dez,2,,,3,,,3,,,2,,,14,,,6,,,19,,,11,,
,Total,,30,,,25,,,29,,,39,,,115,,,101,,,174,,,165,
Total,jan,13,,,19,,,25,,,38,,,487,,,491,,,525,,,548,,
,fev,10,,,9,,,27,,,31,,,402,,,376,,,439,,,416,,
,mar,13,,,13,,,30,,,49,,,400,,,457,,,443,,,519,,
,abr,8,,,8,,,26,,,21,,,341,,,340,,,375,,,369,,
,mai,17,,,5,,,29,,,29,,,377,,,435,,,423,,,469,,
,jun,9,,,10,,,28,,,36,,,353,,,355,,,390,,,401,,
,jul,14,,,6,,,31,,,23,,,383,,,367,,,428,,,396,,
,ago,8,,,12,,,27,,,34,,,364,,,356,,,399,,,402,,
,set,14,,,8,,,28,,,49,,,425,,,384,,,467,,,441,,
,out,18,,,16,,,32,,,33,,,525,,,497,,,575,,,546,,
,nov,11,,,13,,,49,,,40,,,546,,,562,,,606,,,615,,
,dez,21,,,15,,,56,,,26,,,505,,,560,,,582,,,601,,
,Total,,156,,,134,,,388,,,409,,,5 108,,,5 180,,,5 652,,,5 723,
