,,,,,,,,,,,Índice de,
,AcV,,VM,,FG,,FL,,Total de Feridos,,,
,,,,,,,,,,,Gravidade,
,,,,,,,,,,,,
,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019,2018,2019
jan,2 572,2 832,50,65,119,138,3 101,3 391,3 270,3 594,1.9,2.3
fev,2 389,2 358,44,48,117,132,2 882,2 806,3 043,2 986,1.8,2.0
mar,2 700,2 859,40,45,136,184,3 286,3 444,3 462,3 673,1.5,1.6
abr,2 449,2 682,41,40,141,145,2 965,3 303,3 147,3 488,1.7,1.5
mai,2 777,3 097,51,53,176,195,3 325,3 699,3 552,3 947,1.8,1.7
jun,2 868,2 840,46,45,158,193,3 530,3 434,3 734,3 672,1.6,1.6
jul,2 993,3 254,65,45,192,201,3 580,3 996,3 837,4 242,2.2,1.4
ago,3 153,3 286,77,71,220,265,3 915,4 128,4 212,4 464,2.4,2.2
set,3 117,3 098,73,63,226,214,3 732,3 746,4 031,4 023,2.3,2.0
out,3 296,3 329,67,51,182,176,3 928,3 970,4 177,4 197,2.0,1.5
nov,2 885,3 071,49,52,146,163,3 422,3 674,3 617,3 889,1.7,1.7
dez,3 036,2 998,72,48,182,162,3 669,3 592,3 923,3 802,2.4,1.6
Total,34 235,35 704,675,626,1 995,2 168,41 335,43 183,44 005,45 977,2.0,1.8
