,,,,VM,,,,,FG,,,,FL,,,,,Total de Vítimas,,,
,,,,2018,,2019,,,2018,,2019,,2018,,,2019,,2018,,2019,
,00 - 03,,37,,26,,,77,,,96,989,,,1 021,,,1 103,,1 143,
,03 - 06,,16,,14,,,41,,,58,605,,,574,,,662,,646,
,06 - 09,,55,,38,,,131,,,126,3 106,,,3 240,,,3 292,,3 404,
,09 - 12,,65,,45,,,154,,,175,4 225,,,4 527,,,4 444,,4 747,
,12 - 15,,68,,49,,,200,,,199,4 730,,,5 078,,,4 998,,5 326,
,15 - 18,,78,,78,,,262,,,275,5 293,,,5 670,,,5 633,,6 023,
,18 - 21,,80,,86,,,224,,,294,4 989,,,5 301,,,5 293,,5 681,
,21 - 24,,36,,47,,,144,,,168,2 244,,,2 343,,,2 424,,2 558,
,Total,,,435,,383,,,1 233,,1 391,,26 181,,,27 754,,27 849,,29 528,
