,,,,Total,,,,,,,,,,,,,,,,,,,,,,
,,,,Feminino,,,,,,Masculino,,,,,,N.D.,,,,,,Total,,,,
,,,,2018,,,2019,,,2018,,,2019,,,2018,,,2019,,,2018,,,2019,
,<=5,,281,,,286,,,324,,,300,,,6,,,11,,,605,,,586,,
,6 - 9,,232,,,206,,,253,,,204,,,8,,,16,,,485,,,410,,
,10 - 14,,302,,,344,,,314,,,338,,,16,,,21,,,616,,,682,,
,15 - 19,,663,,,650,,,469,,,514,,,48,,,59,,,1 132,,,1 164,,
,20 - 24,,681,,,701,,,514,,,545,,,61,,,64,,,1 195,,,1 246,,
,25 - 29,,524,,,505,,,344,,,357,,,37,,,37,,,868,,,862,,
,30 - 34,,379,,,387,,,241,,,236,,,35,,,29,,,620,,,623,,
,35 - 39,,380,,,315,,,176,,,193,,,27,,,26,,,556,,,508,,
,40 - 44,,383,,,396,,,187,,,208,,,28,,,29,,,570,,,604,,
,45 - 49,,370,,,398,,,154,,,165,,,22,,,21,,,524,,,563,,
,50 - 54,,415,,,399,,,141,,,159,,,21,,,24,,,556,,,558,,
,55 - 59,,388,,,468,,,134,,,144,,,30,,,20,,,522,,,612,,
,60 - 64,,392,,,435,,,114,,,112,,,21,,,18,,,506,,,547,,
,65 - 69,,420,,,401,,,93,,,97,,,23,,,31,,,513,,,498,,
,70 - 74,,370,,,358,,,95,,,90,,,33,,,42,,,465,,,448,,
,>=75,,604,,,669,,,174,,,171,,,55,,,55,,,778,,,840,,
,Total,,6 271,,,6 426,,,3 150,,,3 329,,,463,,,477,,,9 427,,,9 756,,
