,,,,FL,,,,,,,,,,,,,,,,
,,,,Feminino,,Masculino,,,,,N.D.,,,,,Total,,,,
,,,,2018,2019,2018,,,2019,,2018,,2019,,,2018,,,2019,
,<= 5,,0,,0,0,,0,,0,,0,,,0,,,0,,
,5 - 9,,0,,0,0,,0,,0,,0,,,0,,,0,,
,10 - 14,,14,,11,99,,122,,0,,0,,,113,,,133,,
,15 - 19,,326,,321,1 146,,1 314,,1,,0,,,1 473,,,1 635,,
,20 - 24,,1 060,,1 102,2 054,,2 192,,0,,0,,,3 114,,,3 294,,
,25 - 29,,1 036,,1 027,1 864,,1 905,,0,,2,,,2 900,,,2 934,,
,30 - 34,,921,,974,1 575,,1 687,,0,,0,,,2 496,,,2 661,,
,35 - 39,,953,,924,1 577,,1 635,,0,,0,,,2 530,,,2 559,,
,40 - 44,,978,,1 011,1 613,,1 743,,0,,0,,,2 591,,,2 754,,
,45 - 49,,924,,929,1 494,,1 576,,0,,0,,,2 418,,,2 505,,
,50 - 54,,774,,797,1 276,,1 361,,0,,1,,,2 050,,,2 159,,
,55 - 59,,635,,695,1 156,,1 259,,0,,0,,,1 791,,,1 954,,
,60 - 64,,442,,466,941,,1 058,,0,,0,,,1 383,,,1 524,,
,65 - 69,,288,,278,789,,861,,0,,0,,,1 077,,,1 139,,
,70 - 74,,195,,216,682,,755,,0,,0,,,877,,,971,,
,>=75,,162,,212,1 204,,1 281,,0,,0,,,1 366,,,1 493,,
,N.D.,,1,,9,1,,19,,0,,11,,,2,,,39,,
,Total,,8 709,,8 972,17 471,,18 768,,1,,14,,,26 181,,,0,,
