,,,,Total,,,,,,,,,,,,,,,,
,,,,Feminino,,Masculino,,,,,N.D.,,,,,Total,,,,
,,,,2018,2019,2018,,,2019,,2018,,2019,,,2018,,,2019,
,<= 5,,0,,0,0,,0,,,0,,0,,0,,,0,,
,5 - 9,,0,,0,0,,0,,,0,,0,,0,,,0,,
,10 - 14,,15,,11,109,,130,,,0,,0,,124,,,141,,
,15 - 19,,333,,326,1 213,,1 376,,,1,,0,,1 547,,,1 702,,
,20 - 24,,1 093,,1 122,2 180,,2 332,,,0,,0,,3 273,,,3 454,,
,25 - 29,,1 065,,1 049,1 995,,2 068,,,0,,2,,3 060,,,3 119,,
,30 - 34,,934,,997,1 702,,1 827,,,0,,0,,2 636,,,2 824,,
,35 - 39,,967,,940,1 694,,1 807,,,0,,0,,2 661,,,2 747,,
,40 - 44,,989,,1 035,1 760,,1 903,,,0,,0,,2 749,,,2 938,,
,45 - 49,,947,,945,1 643,,1 713,,,0,,0,,2 590,,,2 658,,
,50 - 54,,787,,814,1 408,,1 469,,,0,,1,,2 195,,,2 284,,
,55 - 59,,662,,717,1 260,,1 346,,,0,,0,,1 922,,,2 063,,
,60 - 64,,458,,478,1 036,,1 159,,,0,,0,,1 494,,,1 637,,
,65 - 69,,305,,288,851,,948,,,0,,0,,1 156,,,1 236,,
,70 - 74,,203,,229,744,,821,,,0,,0,,947,,,1 050,,
,>=75,,175,,219,1 317,,1 410,,,0,,0,,1 492,,,1 629,,
,N.D.,,1,,9,2,,21,,,0,,16,,3,,,46,,
,Total,,8 934,,9 179,18 914,,20 330,,,1,,19,,27 849,,,29 528,,
