,,,,FL,,,,,,,,,,,,,,,,
,,,,Feminino,,,,,,Masculino,,,,,,Total,,,,
,,,,2018,,,2019,,,2018,,,2019,,,2018,,,2019,
,<=5,,55,,,41,,,73,,,82,,,128,,,123,,
,6 - 9,,42,,,43,,,85,,,70,,,127,,,113,,
,10 - 14,,153,,,183,,,161,,,151,,,314,,,334,,
,15 - 19,,241,,,226,,,186,,,168,,,427,,,394,,
,20 - 24,,197,,,201,,,151,,,134,,,348,,,335,,
,25 - 29,,129,,,129,,,87,,,95,,,216,,,224,,
,30 - 34,,110,,,126,,,63,,,81,,,173,,,207,,
,35 - 39,,122,,,124,,,85,,,85,,,207,,,209,,
,40 - 44,,150,,,165,,,110,,,103,,,260,,,268,,
,45 - 49,,187,,,173,,,117,,,111,,,304,,,284,,
,50 - 54,,198,,,207,,,140,,,135,,,338,,,342,,
,55 - 59,,217,,,237,,,141,,,159,,,358,,,396,,
,60 - 64,,211,,,211,,,157,,,166,,,368,,,377,,
,65 - 69,,211,,,201,,,154,,,135,,,365,,,336,,
,70 - 74,,212,,,224,,,157,,,168,,,369,,,392,,
,>=75,,447,,,465,,,359,,,381,,,806,,,846,,
,Total,,,2 882,,,2 956,,,2 226,,,2 224,,,5 108,,,5 180,
