,,,,VM,,,,,,,,,,,,
,,,,Feminino,,,,,Masculino,,,,Total,,,
,,,,2018,,2019,,,2018,,2019,,2018,,,2019
,<=5,,0,,0,,,0,,4,,0,,,4,
,6 - 9,,0,,0,,,0,,0,,0,,,0,
,10 - 14,,1,,0,,,0,,0,,1,,,0,
,15 - 19,,1,,0,,,2,,2,,3,,,2,
,20 - 24,,0,,2,,,5,,1,,5,,,3,
,25 - 29,,0,,0,,,3,,3,,3,,,3,
,30 - 34,,0,,1,,,1,,0,,1,,,1,
,35 - 39,,0,,0,,,4,,3,,4,,,3,
,40 - 44,,1,,0,,,3,,1,,4,,,1,
,45 - 49,,2,,4,,,6,,6,,8,,,10,
,50 - 54,,7,,0,,,10,,5,,17,,,5,
,55 - 59,,2,,5,,,12,,5,,14,,,10,
,60 - 64,,3,,8,,,7,,6,,10,,,14,
,65 - 69,,3,,4,,,8,,14,,11,,,18,
,70 - 74,,6,,11,,,6,,9,,12,,,20,
,>=75,,32,,19,,,31,,21,,63,,,40,
,Total,,,58,,54,,,98,,80,,156,,,134
