Via,,,,Km,,,Km,,AcV,,,Veículos,,,VM,,,FG,,,FL,,,IG,Recorrência,,,,Gestor da,
,,,,Inicial,,,Final,,,,,,,,,,,,,,,,,,,,,,Infraestrutura,
,A1,,"292,600",,,"292,800",,,6,,,6,,,0,,,0,,,8,,,24,,,,BCR,,
,A2,,"5,850",,,"6,050",,,8,,,22,,,0,,,0,,,10,,,30,2018 / 2017 / 2016 / 2015,,,Lusoponte,,
,A20,,"11,700",,,"11,900",,,5,,,8,,,1,,,0,,,5,,,115,,,,IP,,
,A20,,"12,200",,,"12,400",,,8,,,20,,,1,,,0,,,7,,,121,,,,IP,,
,A20,,"12,300",,,"12,500",,,9,,,30,,,0,,,0,,,15,,,45,2018 / 2017 / 2016,,,IP,,
,A20,,"14,200",,,"14,400",,,7,,,19,,,0,,,0,,,8,,,24,2018,,,IP,,
,A20,,"15,600",,,"15,800",,,7,,,18,,,0,,,0,,,9,,,27,,,,IP,,
,A28,,"3,000",,,"3,200",,,7,,,16,,,0,,,0,,,9,,,27,2018,,,CM Porto,,
,A3,,"16,150",,,"16,300",,,6,,,8,,,0,,,0,,,9,,,27,,,,BCR,,
,A3,,"16,325",,,"16,470",,,8,,,12,,,0,,,1,,,10,,,40,2018 / 2017,,,BCR,,
,A3,,"38,640",,,"38,775",,,6,,,8,,,0,,,1,,,6,,,28,2016,,,BCR,,
,A5,,"0,170",,,"0,350",,,6,,,15,,,1,,,0,,,6,,,118,2018,,,BCR,,
,A5,,"1,900",,,"2,100",,,5,,,12,,,0,,,1,,,6,,,28,,,,BCR,,
,A5,,"1,900",,,"2,100",,,8,,,24,,,0,,,0,,,14,,,42,,,,BCR,,
,A5,,"6,800",,,"7,000",,,7,,,18,,,0,,,0,,,9,,,27,,,,BCR,,
,A5,,"12,900",,,"13,100",,,5,,,11,,,0,,,0,,,7,,,21,,,,BCR,,
,EN1,,"288,650",,,"288,850",,,6,,,14,,,0,,,0,,,8,,,24,,,,IP,,
,EN10,,"29,400",,,"29,600",,,5,,,6,,,0,,,0,,,7,,,21,2018,,,IP,,
,EN10,,"124,100",,,"124,300",,,5,,,11,,,0,,,1,,,5,,,25,,,,IP,,
,EN10,,"129,200",,,"129,400",,,6,,,9,,,0,,,1,,,6,,,28,,,,IP,,
,EN10,,"131,000",,,"131,200",,,5,,,10,,,0,,,0,,,8,,,24,,,,CM VFX,,
,EN10,,"141,100",,,"141,300",,,6,,,10,,,0,,,0,,,11,,,33,,,,IP,,
,EN101,,"3,590",,,"3,700",,,5,,,8,,,1,,,0,,,4,,,112,,,,IP,,
,EN101,,"96,900",,,"97,100",,,5,,,8,,,0,,,0,,,7,,,21,,,,IP,,
,EN101,,"105,900",,,"106,100",,,5,,,10,,,0,,,1,,,4,,,22,,,,IP,,
,EN105,,"41,200",,,"41,400",,,6,,,12,,,1,,,0,,,5,,,115,,,,IP,,
,EN12,,"4,300",,,"4,500",,,6,,,13,,,0,,,0,,,8,,,24,2017,,,IP,,
,EN12,,"8,100",,,"8,300",,,7,,,10,,,0,,,0,,,9,,,27,2017,,,IP,,
,EN12,,"12,600",,,"12,800",,,8,,,12,,,0,,,0,,,10,,,30,,,,IP,,
,EN125,,"98,700",,,"98,900",,,11,,,24,,,0,,,1,,,13,,,49,2018 / 2017 / 2015,,,IP,,
,EN13,,"37,850",,,"38,000",,,5,,,8,,,0,,,0,,,8,,,24,,,,IP,,
,EN14,,"4,500",,,"4,600",,,6,,,19,,,0,,,0,,,10,,,30,2016,,,IP,,
,EN14,,"5,400",,,"5,600",,,6,,,15,,,0,,,0,,,11,,,33,,,,IP,,
,EN15,,"19,660",,,"19,800",,,5,,,9,,,0,,,0,,,8,,,24,,,,IP,,
,EN206,,"26,200",,,"26,300",,,7,,,12,,,0,,,0,,,13,,,39,,,,IP,,
,EN222,,"5,300",,,"5,500",,,7,,,26,,,0,,,0,,,15,,,45,,,,IP,,
,EN6,,"6,100",,,"6,200",,,7,,,11,,,0,,,0,,,13,,,39,2016,,,IP,,
,IC16,,"1,300",,,"1,500",,,5,,,15,,,0,,,0,,,8,,,24,2018,,,IP,,
,IC17,,"4,800",,,"4,900",,,6,,,14,,,0,,,0,,,7,,,21,2018 / 2017 / 2016 / 2015,,,IP,,
,IC17,,"5,100",,,"5,300",,,8,,,25,,,0,,,0,,,10,,,30,2018 / 2017 / 2016,,,IP,,
,IC17,,"13,000",,,"13,200",,,6,,,18,,,0,,,0,,,7,,,21,2016,,,IP,,
,IC19,,"0,100",,,"0,300",,,15,,,25,,,0,,,0,,,18,,,54,2018,,,CM Lisboa,,
,IC19,,"0,400",,,"0,600",,,10,,,30,,,0,,,0,,,13,,,39,,,,IP,,
,IC19,,"0,700",,,"0,900",,,5,,,10,,,0,,,0,,,7,,,21,,,,IP,,
,IC19,,"2,100",,,"2,300",,,5,,,13,,,0,,,0,,,10,,,30,2017,,,IP,,
,IC19,,"3,000",,,"3,200",,,6,,,14,,,0,,,0,,,9,,,27,,,,IP,,
,IC19,,"3,700",,,"3,900",,,7,,,16,,,0,,,0,,,10,,,30,2018 / 2017,,,IP,,
,IC19,,"5,200",,,"5,400",,,5,,,12,,,0,,,1,,,5,,,25,,,,IP,,
,IC19,,"5,700",,,"5,800",,,5,,,6,,,0,,,0,,,8,,,24,,,,IP,,
,IC19,,"6,000",,,"6,100",,,8,,,18,,,0,,,0,,,14,,,42,,,,IP,,
,IC19,,"6,100",,,"6,300",,,5,,,12,,,0,,,0,,,8,,,24,,,,IP,,
,IC19,,"7,000",,,"7,200",,,6,,,16,,,0,,,1,,,7,,,31,,,,IP,,
,IC2,,"9,000",,,"9,100",,,6,,,8,,,0,,,0,,,9,,,27,2018,,,IP,,
,IC20,,"1,500",,,"1,700",,,8,,,26,,,0,,,0,,,16,,,48,2018 / 2017 / 2015,,,IP,,
,Total,,,54,,,,,,353,,,782,,,5,,,9,,,487,,,,22,,,,
