,,,,VM,,,,,,,,,,,,,,,,
,,,,Feminino,,,,,,Masculino,,,,,,Total,,,,
,,,,2018,,,2019,,,2018,,,2019,,,2018,,,2019,
,<=5,,0,,,0,,,1,,,2,,,1,,,2,,
,6 - 9,,0,,,1,,,0,,,1,,,0,,,2,,
,10 - 14,,2,,,3,,,2,,,2,,,4,,,5,,
,15 - 19,,0,,,5,,,2,,,7,,,2,,,12,,
,20 - 24,,2,,,8,,,12,,,5,,,14,,,13,,
,25 - 29,,2,,,3,,,5,,,4,,,7,,,7,,
,30 - 34,,1,,,1,,,4,,,3,,,5,,,4,,
,35 - 39,,0,,,0,,,4,,,3,,,4,,,3,,
,40 - 44,,3,,,2,,,2,,,1,,,5,,,3,,
,45 - 49,,2,,,4,,,0,,,1,,,2,,,5,,
,50 - 54,,1,,,2,,,4,,,3,,,5,,,5,,
,55 - 59,,2,,,2,,,3,,,2,,,5,,,4,,
,60 - 64,,1,,,4,,,2,,,1,,,3,,,5,,
,65 - 69,,1,,,6,,,2,,,1,,,3,,,7,,
,70 - 74,,4,,,5,,,0,,,5,,,4,,,10,,
,>=75,,17,,,20,,,3,,,5,,,20,,,25,,
,Total,,38,,,65,,,45,,,43,,,83,,,108,,
