,,,,Total de Vítimas,,,,,,,,,,,,,,,,
,,,,Feminino,,,,,,Masculino,,,,,,Total,,,,
,,,,2018,,,2019,,,2018,,,2019,,,2018,,,2019,
,<=5,,59,,,44,,,80,,,91,,,139,,,135,,
,6 - 9,,44,,,43,,,89,,,75,,,133,,,118,,
,10 - 14,,157,,,193,,,176,,,161,,,333,,,354,,
,15 - 19,,253,,,235,,,197,,,178,,,450,,,413,,
,20 - 24,,210,,,214,,,162,,,144,,,372,,,358,,
,25 - 29,,133,,,134,,,94,,,106,,,227,,,240,,
,30 - 34,,112,,,132,,,67,,,85,,,179,,,217,,
,35 - 39,,128,,,125,,,97,,,96,,,225,,,221,,
,40 - 44,,160,,,176,,,125,,,121,,,285,,,297,,
,45 - 49,,196,,,182,,,131,,,132,,,327,,,314,,
,50 - 54,,220,,,221,,,164,,,154,,,384,,,375,,
,55 - 59,,235,,,250,,,172,,,187,,,407,,,437,,
,60 - 64,,229,,,238,,,176,,,183,,,405,,,421,,
,65 - 69,,230,,,225,,,178,,,169,,,408,,,394,,
,70 - 74,,237,,,264,,,175,,,201,,,412,,,465,,
,>=75,,536,,,522,,,430,,,442,,,966,,,964,,
,Total,,,3 139,,,3 198,,,2 513,,,2 525,,,5 652,,,5 723,
