,,,Feminino,,,,,,Masculino,,,,,N.D.,,,,,Total,,,,,Pop.,"Total cond. /
1000 hab."
,,,,2018,,,2019,,,2018,,2019,,,2018,,2019,,,2018,,2019,,,
,<= 5,,0,,,0,,,2,,3,,,0,,,0,,2,,,3,,415 473,0
,5 - 9,,5,,,4,,,18,,8,,,0,,,0,,23,,,12,,432 930,0
,10 - 14,,11,,,8,,,94,,129,,,0,,,0,,105,,,137,,477 944,0
,15 - 19,,470,,,473,,,1 658,,1 787,,,1,,,0,,2 129,,,2 260,,514 548,4
,20 - 24,,1 765,,,1 793,,,3 883,,4 085,,,0,,,1,,5 648,,,5 879,,518 764,11
,25 - 29,,1 741,,,1 753,,,3 676,,3 805,,,1,,,2,,5 418,,,5 560,,514 892,11
,30 - 34,,1 656,,,1 751,,,3 285,,3 405,,,0,,,0,,4 941,,,5 156,,533 486,10
,35 - 39,,1 842,,,1 807,,,3 592,,3 640,,,0,,,2,,5 434,,,5 449,,636 213,9
,40 - 44,,1 908,,,1 995,,,3 857,,4 047,,,2,,,2,,5 767,,,6 044,,743 545,8
,45 - 49,,1 745,,,1 836,,,3 579,,3 754,,,0,,,0,,5 324,,,5 590,,750 792,7
,50 - 54,,1 395,,,1 495,,,3 147,,3 211,,,0,,,1,,4 542,,,4 707,,708 497,7
,55 - 59,,1 146,,,1 220,,,2 916,,2 999,,,0,,,0,,4 062,,,4 219,,703 737,6
,60 - 64,,819,,,864,,,2 408,,2 507,,,0,,,3,,3 227,,,3 374,,647 068,5
,65 - 69,,584,,,558,,,1 932,,2 062,,,0,,,0,,2 516,,,2 620,,597 684,4
,70 - 74,,360,,,396,,,1 619,,1 742,,,0,,,0,,1 979,,,2 138,,530 304,4
,>=75,,299,,,371,,,2 479,,2 621,,,0,,,0,,2 778,,,2 992,,1 072 982,3
,N.D.,,10,,,11,,,42,,48,,,1 524,,,2 100,,1 576,,,2 159,,0,0
,Total,,15 756,,,16 335,,,38 187,,39 853,,,1 528,,,2 111,,55 471,,,58 299,,9 798 859,90
