,,,,VM,,,,FG,,,,,,FL,,,,,,Total de Vítimas,,,,
,,,,2018,,2019,,2018,,,2019,,,2018,,,2019,,,2018,,,2019,
Dentro das localidades,2ª Feira,,16,,21,,,62,,48,,,810,,,777,,,888,,,846,,
,3ª Feira,,18,,16,,,59,,59,,,792,,,791,,,869,,,866,,
,4ª Feira,,24,,9,,,48,,52,,,827,,,823,,,899,,,884,,
,5ª Feira,,20,,17,,,53,,62,,,750,,,858,,,823,,,937,,
,6ª Feira,,12,,25,,,64,,61,,,824,,,878,,,900,,,964,,
,Sábado,,24,,10,,,48,,52,,,581,,,563,,,653,,,625,,
,Domingo,,12,,11,,,25,,36,,,409,,,389,,,446,,,436,,
,Total,,,126,,109,,359,,,370,,,4 993,,,5 079,,,5 478,,,5 558,
Fora das localidades,2ª Feira,,6,,4,,,4,,4,,,26,,,12,,,36,,,20,,
,3ª Feira,,2,,6,,,3,,5,,,11,,,17,,,16,,,28,,
,4ª Feira,,3,,3,,,8,,6,,,18,,,15,,,29,,,24,,
,5ª Feira,,3,,3,,,3,,6,,,22,,,14,,,28,,,23,,
,6ª Feira,,6,,3,,,4,,9,,,8,,,18,,,18,,,30,,
,Sábado,,5,,5,,,2,,6,,,20,,,16,,,27,,,27,,
,Domingo,,5,,1,,,5,,3,,,10,,,9,,,20,,,13,,
,Total,,,30,,25,,29,,,39,,,115,,,101,,,174,,,165,
Total,2ª Feira,,22,,25,,,66,,52,,,836,,,789,,,924,,,866,,
,3ª Feira,,20,,22,,,62,,64,,,803,,,808,,,885,,,894,,
,4ª Feira,,27,,12,,,56,,58,,,845,,,838,,,928,,,908,,
,5ª Feira,,23,,20,,,56,,68,,,772,,,872,,,851,,,960,,
,6ª Feira,,18,,28,,,68,,70,,,832,,,896,,,918,,,994,,
,Sábado,,29,,15,,,50,,58,,,601,,,579,,,680,,,652,,
,Domingo,,17,,12,,,30,,39,,,419,,,398,,,466,,,449,,
,Total,,,156,,134,,388,,,409,,,5 108,,,5 180,,,5 652,,,5 723,
