,,,,FL,,,,,,,,,,,,,,,,,,,,,,
,,,,Feminino,,,,,,Masculino,,,,,,N.D.,,,,,,Total,,,,
,,,,2018,,,2019,,,2018,,,2019,,,2018,,,2019,,,2018,,,2019,
,<=5,,276,,,283,,,323,,,292,,,0,,,0,,,599,,,575,,
,6 - 9,,227,,,197,,,250,,,197,,,0,,,0,,,477,,,394,,
,10 - 14,,295,,,337,,,305,,,324,,,0,,,0,,,600,,,661,,
,15 - 19,,646,,,626,,,438,,,479,,,0,,,0,,,1 084,,,1 105,,
,20 - 24,,661,,,676,,,473,,,506,,,0,,,0,,,1 134,,,1 182,,
,25 - 29,,507,,,485,,,324,,,340,,,0,,,0,,,831,,,825,,
,30 - 34,,367,,,374,,,218,,,220,,,0,,,0,,,585,,,594,,
,35 - 39,,366,,,307,,,163,,,175,,,0,,,0,,,529,,,482,,
,40 - 44,,366,,,383,,,176,,,192,,,0,,,0,,,542,,,575,,
,45 - 49,,356,,,384,,,146,,,158,,,0,,,0,,,502,,,542,,
,50 - 54,,405,,,387,,,130,,,147,,,0,,,0,,,535,,,534,,
,55 - 59,,374,,,454,,,118,,,138,,,0,,,0,,,492,,,592,,
,60 - 64,,381,,,420,,,104,,,109,,,0,,,0,,,485,,,529,,
,65 - 69,,405,,,378,,,85,,,89,,,0,,,0,,,490,,,467,,
,70 - 74,,342,,,336,,,90,,,70,,,0,,,0,,,432,,,406,,
,>=75,,563,,,624,,,160,,,161,,,0,,,0,,,723,,,785,,
,Total,,6 034,,,6 171,,,2 930,,,3 108,,,6,,,1,,,8 970,,,9 280,,
