,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002
Veículos ligeiros (1),424,442,1594,1419,17219,18609,19237,20470
<=14,0,1,1,0,9,8,10,9
15-19,23,25,87,79,900,1005,1010,1109
20-24,78,76,319,244,3390,3452,3787,3772
25-29,66,56,269,233,2940,3186,3275,3475
30-34,39,57,190,199,2175,2412,2404,2668
35-39,37,43,166,145,1783,1965,1986,2153
40-44,30,42,129,108,1532,1646,1691,1796
45-49,24,37,101,105,1166,1308,1291,1450
50-54,27,27,83,81,930,1019,1040,1127
55-59,27,17,69,70,710,809,806,896
60-64,20,17,57,46,591,612,668,675
>=65,47,43,94,84,921,1067,1062,1194
Veículos pesados (1),24,17,69,52,519,545,612,614
,,,,,,,,
<=14,0,0,0,0,1,0,1,0
15-19,0,0,0,0,2,5,2,5
20-24,1,1,4,2,27,51,32,54
25-29,2,3,10,8,87,84,99,95
30-34,3,1,9,13,83,81,95,95
35-39,1,2,11,4,74,87,86,93
40-44,7,3,9,6,65,67,81,76
45-49,1,0,8,8,58,57,67,65
50-54,3,3,7,5,50,48,60,56
55-59,3,3,3,3,27,32,33,38
60-64,0,0,6,3,25,22,31,25
>=65,2,1,2,0,14,6,18,7
Motociclos (1),176,179,650,458,3878,3750,4704,4387
,,,,,,,,
<=14,0,1,0,2,13,3,13,6
15-19,25,20,129,94,667,655,821,769
20-24,48,38,166,96,991,805,1205,939
25-29,46,47,141,101,853,837,1040,985
30-34,17,24,78,72,430,464,525,560
35-39,15,22,48,23,294,302,357,347
40-44,12,14,24,24,189,223,225,261
45-49,8,5,26,14,116,140,150,159
50-54,1,2,9,7,91,87,101,96
55-59,1,1,4,4,53,70,58,75
60-64,0,0,6,7,55,54,61,61
,,,,,,,,
>=65,1,4,5,6,49,70,55,80
