Distrito de Braga,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN101,107.000,107.080,5,10,0,1,5,25
EN101,108.000,108.150,9,15,0,0,14,42
EN101,129.350,129.500,6,11,0,0,8,24
EN103,45.300,45.400,5,7,0,2,10,50
EN103,50.600,50.650,7,13,1,0,11,133
EN103,53.700,53.800,5,11,1,2,8,144
EN105,34.000,34.200,5,6,0,3,5,45
EN106,1.250,1.450,5,12,0,2,5,35
EN14,43.725,43.850,7,15,0,0,12,36
EN201,57.900,58.100,5,12,0,0,8,24
EN205,19.700,19.900,6,11,0,1,10,40
EN206,18.600,18.800,5,10,1,0,5,115
EN206,24.900,25.050,5,9,0,2,7,41
EN206,29.956,30.130,6,11,0,0,10,30
EN207,49.000,49.200,5,8,0,0,8,24
EN309,32.900,33.100,5,7,0,1,5,25
A3 (1),37.000,37.200,20,34,2,6,25,335
A3 (1),38.600,38.775,6,16,0,2,12,56
A3 (1),40.540,40.625,6,9,0,1,9,37
IC1,329.950,330.000,5,5,1,0,6,118
,,,,,,,,
,,Total,128,232,6,23,183,
Distrito do Porto,,,,,,,,
,,,,,,,,
EN1,289.400,289.600,6,11,0,1,18,64
EN1,292.300,292.500,7,14,0,0,10,30
EN1,292.700,292.800,8,19,0,0,10,30
EN1,295.600,295.700,5,10,0,1,6,28
EN101,95.400,95.450,5,11,1,0,4,112
EN106,29.000,29.200,8,12,0,2,10,50
EN109,7.800,8.000,8,14,0,0,11,33
EN14,7.000,7.200,5,11,0,2,10,50
EN14,8.150,8.300,5,8,0,3,6,48
EN15,11.900,12.000,9,18,0,1,11,43
EN15,13.500,13.700,5,8,0,2,7,41
EN15,15.050,15.200,6,8,1,2,7,141
EN15,28.950,29.150,8,22,0,0,9,27
EN320,14.800,15.000,6,10,0,0,11,33
A3 (2),1.400,1.600,6,16,0,0,13,39
A3 (2),2.375,2.550,7,17,1,0,11,133
A3 (2),16.275,16.450,6,11,2,0,6,218
A4 (2),11.450,11.600,5,15,0,0,10,30
A4 (2),16.625,16.800,7,13,0,0,12,36
A4 (1),43.075,43.225,7,13,1,1,9,137
IC1,2.500,2.500,7,14,1,0,12,136
IC1,7.000,7.000,9,20,1,1,10,140
(1) Sentido crescente da quilometragem,,,,,,,,
(2) Sentido decrescente da quilometragem,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
