,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002
Dentro das localidades,195,197,959,794,6128,6090,7282,7081
Surgindo inesperadamente faixa rodagem,76,77,360,325,1762,1656,2198,2058
Desrespeito pela sinalização,11,2,37,23,173,183,221,208
Influenciado pelo álcool,0,1,15,18,92,109,107,128
Nenhuma,96,99,498,376,3591,3570,4185,4045
Não definida,12,18,49,52,510,572,571,642
Fora das localidades,101,100,139,112,461,437,701,649
Surgindo inesperadamente faixa rodagem,55,56,57,39,144,156,256,251
Desrespeito pela sinalização,7,1,2,1,10,12,19,14
Influenciado pelo álcool,1,2,2,1,8,19,11,22
Nenhuma,37,36,77,68,297,234,411,338
Não definida,1,5,1,3,2,16,4,24
,,,,,,,,
Total,296,297,1098,906,6589,6527,7983,7730
Surgindo inesperadamente faixa rodagem,131,133,417,364,1906,1812,2454,2309
Desrespeito pela sinalização,18,3,39,24,183,195,240,222
Influenciado pelo álcool,1,3,17,19,100,128,118,150
Nenhuma,133,135,575,444,3888,3804,4596,4383
Não definida,13,23,50,55,512,588,575,666
