,,,,,,
,Feminino,,Masculino,,Total (1),
,,,,,,
,2001,2002,2001,2002,2001,2002
,,,,,,
<=14,61,49,348,336,409,389
,,,,,,
15-19,643,643,3913,3625,4560,4272
,,,,,,
20-24,2520,2404,9337,8508,11872,10923
,,,,,,
25-29,2532,2680,8356,8094,10894,10793
,,,,,,
30-34,2008,2110,6354,6366,8374,8493
,,,,,,
35-39,1748,1791,5456,5330,7221,7143
,,,,,,
40-44,1255,1456,4808,4737,6077,6208
,,,,,,
45-49,920,978,4012,3955,4936,4954
,,,,,,
50-54,624,654,3490,3453,4119,4113
,,,,,,
55-59,415,422,2643,2811,3060,3244
,,,,,,
60-64,242,279,2332,2278,2577,2560
,,,,,,
>=65,265,271,3914,4124,4181,4400
,,,,,,
Não def.,84,67,697,433,2244,1487
,,,,,,
Total,13317,13804,55660,54050,70524,68979
