,,,,,,,,,,,,
,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,,,,,,,Feridos leves,,,,,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002,2001,2002,2001,2002
,,,,,,,,,,,,
,,,,,,,,,,,,
Jan,3357,3239,110,103,529,332,3874,3919,4513,4354,"3,3","3,2"
,,,,,,,,,,,,
Fev,3171,3083,115,119,534,344,3741,3726,4390,4189,"3,6","3,9"
,,,,,,,,,,,,
Mar,3199,3537,138,150,509,447,3774,4320,4421,4917,"4,3","4,2"
,,,,,,,,,,,,
Abr,3262,3272,97,124,482,351,3842,3928,4421,4403,"3,0","3,8"
,,,,,,,,,,,,
Mai,3462,3610,92,110,476,427,4147,4344,4715,4881,"2,7","3,0"
,,,,,,,,,,,,
Jun,3763,3624,123,106,539,400,4441,4532,5103,5038,"3,3","2,9"
,,,,,,,,,,,,
Jul,4043,3982,137,157,529,497,5005,4904,5671,5558,"3,4","3,9"
,,,,,,,,,,,,
Ago,3915,3961,132,130,517,445,5019,5154,5668,5729,"3,4","3,3"
,,,,,,,,,,,,
Set,3565,3516,107,124,425,347,4363,4413,4895,4884,"3,0","3,5"
,,,,,,,,,,,,
Out,3497,3449,122,118,391,384,4297,4111,4810,4613,"3,5","3,4"
,,,,,,,,,,,,
Nov,3633,3465,152,105,429,365,4300,4256,4881,4726,"4,2","3,0"
,,,,,,,,,,,,
Dez,3654,3481,141,123,437,431,4444,4208,5022,4762,"3,9","3,5"
,,,,,,,,,,,,
Total,42521,42219,1466,1469,5797,4770,51247,51815,58510,58054,"3,4","3,5"
