,Feridos leves,,,,,,,
,Condutores,,Passageiros,,Peões,,Total de utentes,
,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002
,,,,,,,,
Auto-Estrada,1312,1499,1179,1316,13,19,2504,2834
Estrada Nacional,9671,9854,5827,5814,893,823,16391,16491
Dentro Localidade,4465,4477,2476,2384,633,587,7574,7448
Fora Localidade,5206,5377,3351,3430,260,236,8817,9043
IP/IC,1468,1724,1201,1239,34,46,2703,3009
Dentro Localidade,185,144,111,87,11,14,307,245
Fora Localidade,1283,1580,1090,1152,23,32,2396,2764
Estrada Municipal,3955,4066,1931,2020,442,395,6328,6481
Dentro Localidade,1693,1706,734,688,290,258,2717,2652
Fora Localidade,2262,2360,1197,1332,152,137,3611,3829
Arruamentos,11552,11518,5364,5205,5135,5202,22051,21925
Outras (1),692,625,506,408,72,42,1270,1075
Dentro Localidade,340,307,253,182,59,29,652,518
Fora Localidade,352,318,253,226,13,13,618,557
Total da rede,28650,29286,16008,16002,6589,6527,51247,51815
Dentro Localidade,18235,18152,8938,8546,6128,6090,33301,32788
Fora Localidade,10415,11134,7070,7456,461,437,17946,19027
