,,,Escolas,Instrutores,,
,,,,Em escolas,Independentes,Total
,,Braga,104,461,,461
,REGIÃO,Bragança,21,85,,85
,NORTE,Porto,182,907,3,910
,,V. Castelo,37,164,,164
,,Vila Real,31,116,,116
,,,375,1733,3,1736
,,Aveiro,65,381,,381
,,C .Branco,24,137,,137
,REGIÃO,Coimbra,43,282,,282
,CENTRO,Guarda,29,127,,127
,,Leiria,50,280,,280
,,Viseu,57,255,,255
,,,268,1462,,1462
,,Lisboa,140,991,,991
,REGIÃO LISBOA,Santarém,51,203,,203
,V. TEJO,Setúbal,56,365,,365
,,,247,1559,,1559
,,Beja,22,88,,88
,REGIÃO,Évora,24,120,,120
,ALENTEJO,Portalegre,16,47,,47
,,,62,255,,255
,R. ALGARVE,Faro,52,168,,168
,TOTAL,,1004,5177,3,5180
