Distrito de Aveiro,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN1,234.800,235.000,6,11,0,1,6,28
EN1,279.000,279.200,5,15,0,0,8,24
EN1,284.300,284.410,7,19,0,0,10,30
EN1,286.000,286.170,5,10,2,2,7,241
EN109,41.000,41.100,6,13,0,0,9,27
EN109,68.500,68.700,8,16,0,4,10,70
EN109,69.900,70.100,5,9,0,2,6,38
EN16,3.700,3.800,5,12,0,1,5,25
EN327,41.600,41.800,6,9,0,0,8,24
IC1,18.900,19.050,5,8,1,0,5,115
IC2,208.000,208.100,8,16,0,0,10,30
IP5,21.870,22.000,6,6,0,0,8,24
IP5,42.900,43.100,6,9,0,1,6,28
,,,,,,,,
,,Total,78,153,3,11,98,
Distrito de Coimbra,,,,,,,,
,,,,,,,,
,,,,,,,,
EN111,13.000,13.100,5,10,0,0,8,24
,,,,,,,,
IC1,115.900,116.100,6,14,0,1,8,34
,,,,,,,,
IC3,2.800,2.900,5,13,0,0,17,51
,,,,,,,,
IP3,48.600,48.800,10,12,0,0,13,39
,,,,,,,,
IP3,49.750,49.950,5,8,0,0,9,27
,,,,,,,,
IP3,67.300,67.500,7,8,1,0,7,121
,,Total,38,65,1,1,62,
Distrito da Guarda,,,,,,,,
,,,,,,,,
IP5,133.300,133.500,5,8,1,2,16,168
IP5,153.900,154.100,5,5,1,3,3,139
IP5,157.100,157.200,7,7,0,0,9,27
IP5,157.550,157.650,6,6,0,0,7,21
,,Total,23,26,2,5,35,
Distrito de Leiria,,,,,,,,
,,,,,,,,
,,,,,,,,
EN1,108.000,108.200,10,24,0,0,17,51
,,,,,,,,
EN109,157.000,157.200,5,8,0,1,6,28
,,,,,,,,
EN109,164.000,164.200,5,9,0,0,9,27
,,,,,,,,
EN114,7.000,7.100,5,8,0,3,9,57
,,,,,,,,
IC2,120.900,121.100,10,20,0,0,13,39
,,,,,,,,
IC2,150.000,150.200,9,17,2,5,10,280
,,Total,44,86,2,9,64,
Distrito de Viseu,,,,,,,,
,,,,,,,,
,,,,,,,,
EN229,60.000,60.200,6,7,0,0,9,27
,,,,,,,,
EN231,4.450,4.600,5,10,0,0,7,21
,,,,,,,,
EN231,12.400,12.600,6,8,0,0,9,27
,,,,,,,,
EN329-1,10.000,10.000,7,15,0,0,9,27
,,Total,24,40,0,0,34,
