,,,,,,
,Feminino,,Masculino,,Total (1),
,,,,,,
,2001,2002,2001,2002,2001,2002
Vítimas mortais,61,73,776,759,838,832
<=14,1,1,1,7,2,8
15-19,3,4,56,57,59,61
20-24,10,14,134,113,144,127
25-29,12,12,118,104,130,116
30-34,7,8,65,85,72,93
35-39,6,2,67,74,73,76
40-44,9,7,54,67,63,74
45-49,4,7,43,55,47,62
50-54,1,5,37,43,38,48
55-59,3,2,37,28,40,30
60-64,2,4,32,27,34,31
>=65,3,7,118,92,121,99
Não def.,0,0,14,7,15,7
Feridos graves,385,356,2743,2264,3134,2625
,,,,,,
<=14,2,2,38,38,40,41
15-19,27,19,307,241,335,260
20-24,70,59,516,354,586,413
25-29,71,70,417,337,488,407
30-34,43,63,301,267,344,330
35-39,46,36,236,193,282,230
40-44,38,31,175,159,213,190
45-49,31,24,159,136,190,160
50-54,21,16,111,109,132,125
55-59,19,9,87,109,107,118
60-64,8,7,108,77,116,84
>=65,4,16,229,199,233,215
Não def.,5,4,59,45,68,52
