,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,Acidentes com vítimas,984,950,1091,863,1050,1105,1082,1178,1019,1038,995,993,12348
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,97,84,107,83,108,102,120,118,88,93,87,101,1188
,,,,,,,,,,,,,,
REGIÃO,Acid.com mortos,24,25,33,39,29,31,36,36,27,30,27,30,367
,,,,,,,,,,,,,,
CENTRO,Mortos,27,28,35,44,30,32,40,38,33,34,33,31,405
,,,,,,,,,,,,,,
,F.Graves,88,69,111,69,108,91,119,113,77,81,88,95,1109
,,,,,,,,,,,,,,
,F.Leves,1220,1191,1338,1058,1288,1400,1340,1534,1287,1243,1221,1270,15390
,,,,,,,,,,,,,,
,Acidentes com vítimas,299,298,330,277,300,316,320,311,305,335,321,318,3730
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,28,30,41,26,25,27,27,37,33,26,20,32,352
,,,,,,,,,,,,,,
Aveiro,Acid.com mortos,5,9,14,14,5,11,10,11,10,9,8,9,115
,,,,,,,,,,,,,,
,Mortos,6,10,14,14,5,12,12,12,14,9,10,10,128
,,,,,,,,,,,,,,
,F.Graves,28,22,40,21,25,20,26,37,29,20,22,28,318
,,,,,,,,,,,,,,
,F.Leves,352,363,388,334,364,398,399,371,384,396,388,401,4538
,,,,,,,,,,,,,,
,Acidentes com vítimas,58,53,47,38,61,60,47,64,39,41,51,52,611
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,11,6,5,4,12,10,9,11,3,5,4,14,94
,,,,,,,,,,,,,,
Castelo,Acid.com mortos,2,2,2,3,3,2,3,4,1,1,1,3,27
,,,,,,,,,,,,,,
Branco,Mortos,2,3,2,4,3,2,3,4,1,1,1,3,29
,,,,,,,,,,,,,,
,F.Graves,10,5,3,4,13,9,13,13,2,4,5,15,96
,,,,,,,,,,,,,,
,F.Leves,64,73,64,48,68,60,59,73,59,52,67,66,753
,,,,,,,,,,,,,,
,Acidentes com vítimas,196,176,199,212,214,230,200,235,208,228,182,208,2488
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,12,9,16,12,19,17,11,12,14,13,13,13,161
,,,,,,,,,,,,,,
Coimbra,Acid.com mortos,6,1,6,5,5,10,7,3,6,3,5,7,64
,,,,,,,,,,,,,,
,Mortos,8,1,6,5,5,10,7,3,8,3,6,7,69
,,,,,,,,,,,,,,
,F.Graves,7,8,13,10,19,13,7,9,9,13,8,6,122
,,,,,,,,,,,,,,
,F.Leves,257,221,225,265,248,294,251,311,246,277,234,247,3076
,,,,,,,,,,,,,,
,Acidentes com vítimas,60,51,66,48,52,53,64,78,58,59,61,44,694
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,7,9,7,5,14,9,12,13,7,8,13,8,112
,,,,,,,,,,,,,,
Guarda,Acid.com mortos,1,3,,2,5,2,,5,2,1,5,2,28
,,,,,,,,,,,,,,
,Mortos,1,3,0,2,6,2,0,5,2,1,7,2,31
,,,,,,,,,,,,,,
,F.Graves,9,6,10,3,16,9,13,13,5,9,13,16,122
,,,,,,,,,,,,,,
,F.Leves,80,56,83,55,57,69,75,109,63,73,69,87,876
,,,,,,,,,,,,,,
,Acidentes com vítimas,243,240,291,168,279,285,302,307,258,248,253,248,3122
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,26,20,25,25,28,21,44,25,27,27,27,22,317
,,,,,,,,,,,,,,
Leiria,Acid.com mortos,5,5,8,12,7,4,11,6,7,10,4,5,84
,,,,,,,,,,,,,,
,Mortos,5,6,10,16,7,4,13,7,7,13,4,5,97
,,,,,,,,,,,,,,
,F.Graves,25,18,27,23,26,20,44,27,28,24,29,20,311
,,,,,,,,,,,,,,
,F.Leves,300,303,363,198,350,373,351,416,332,289,293,305,3873
,,,,,,,,,,,,,,
,Acidentes com vítimas,128,132,158,120,144,161,149,183,151,127,127,123,1703
,,,,,,,,,,,,,,
,Acid.c/ mortos e f.graves,13,10,13,11,10,18,17,20,4,14,10,12,152
,,,,,,,,,,,,,,
Viseu,Acid.com mortos,5,5,3,3,4,2,5,7,1,6,4,4,49
,,,,,,,,,,,,,,
,Mortos,5,5,3,3,4,2,5,7,1,7,5,4,51
,,,,,,,,,,,,,,
,F.Graves,9,10,18,8,9,20,16,14,4,11,11,10,140
,,,,,,,,,,,,,,
,F.Leves,167,175,215,158,201,206,205,254,203,156,170,164,2274
,,,,,,,,,,,,,,
