,,,,Acid. c/ vítimas,,,
,,Acidentes,Parque,,População,,Mortos/100000
,,,,por 1000 veíc.,,Mortos,
,,com vítimas,circulação (1),,(2),,habitantes
,,,,circulação,,,
,,,,,,,
,Braga,3163,365280,"8,7",826267,105,"12,7"
REGIÃO,Bragança,435,69765,"6,2",146322,31,"21,2"
NORTE,Porto,5471,795132,"6,9",1771043,152,"8,6"
,V. Castelo,1064,107708,"9,9",247052,49,"19,8"
,Vila Real,779,98900,"7,9",220405,35,"15,9"
,,10912,1436785,"7,6",3211089,372,"11,6"
,,,,,,,
,Aveiro,3730,377309,"9,9",714791,128,"17,9"
REGIÃO,C. Branco,611,101383,"6,0",208120,29,"13,9"
CENTRO,Coimbra,2488,219279,"11,3",443311,69,"15,6"
,Guarda,694,87565,"7,9",179796,31,"17,2"
,Leiria,3122,268316,"11,6",462266,97,"21,0"
,Viseu,1703,179143,"9,5",394170,51,"12,9"
,,12348,1232995,"10,0",2402454,405,"16,9"
REGIÃO DE,Lisboa,7980,1239116,"6,4",2141578,171,"8,0"
LISBOA,Santarém,2635,244399,"10,8",453990,124,"27,3"
E VALE TEJO,Setúbal,3346,362855,"9,2",791769,115,"14,5"
,,13961,1846370,"7,6",3387337,410,"12,1"
REGIÃO DO,Beja,730,73676,"9,9",158436,61,"38,5"
ALENTEJO,Évora,804,89510,"9,0",171012,57,"33,3"
,Portalegre,543,60931,"8,9",124692,23,"18,4"
,,2077,224117,"9,3",454140,141,"31,0"
R. ALGARVE,Faro,2921,216854,"13,5",399236,141,"35,3"
,,,,,,,
TOTAL,,42219,4957121,"8,5",9854256,1469,"14,9"
,,,,,,,
