,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002
Dentro das localidades,195,197,959,794,6128,6090,7282,7081
Atravessamento na passadeira,21,19,209,151,1483,1522,1713,1692
Atravessamento fora passadeira,68,57,307,243,1595,1533,1970,1833
Em plena faixa rodagem,55,59,236,247,1353,1428,1644,1734
Outras,46,57,174,123,1339,1191,1559,1371
Não definido,5,5,33,30,358,416,396,451
Fora das localidades,101,100,139,112,461,437,701,649
Atravessamento na passadeira,4,2,5,5,38,29,47,36
Atravessamento fora passadeira,33,25,32,23,98,124,163,172
Em plena faixa rodagem,33,37,45,43,108,99,186,179
Outras,31,33,57,39,211,173,299,245
Não definido,0,3,0,2,6,12,6,17
,,,,,,,,
Total,296,297,1098,906,6589,6527,7983,7730
Atravessamento na passadeira,25,21,214,156,1521,1551,1760,1728
Atravessamento fora passadeira,101,82,339,266,1693,1657,2133,2005
Em plena faixa rodagem,88,96,281,290,1461,1527,1830,1913
Outras,77,90,231,162,1550,1364,1858,1616
Não definido,5,8,33,32,364,428,402,468
