,,Acidentes,Acidentes,,,
,Acidentes,,,,Feridos,Feridos
,,com mortos,com,Mortos,,
,com vítimas,,,,graves,leves
,,e/ou f. graves,mortos,,,
,,,,,,
REGIÃO CENTRO,12348,1188,367,405,1109,15390
,,,,,,
Dentro Localidade,8216,642,165,171,563,9731
,,,,,,
Fora Localidade,4132,546,202,234,546,5659
,,,,,,
Aveiro,3730,352,115,128,318,4538
,,,,,,
Dentro Localidade,2915,240,63,66,208,3451
,,,,,,
Fora Localidade,815,112,52,62,110,1087
,,,,,,
C. Branco,611,94,27,29,96,753
,,,,,,
Dentro Localidade,244,33,7,7,29,255
,,,,,,
Fora Localidade,367,61,20,22,67,498
,,,,,,
Coimbra,2488,161,64,69,122,3076
,,,,,,
Dentro Localidade,1702,89,40,40,58,2025
,,,,,,
Fora Localidade,786,72,24,29,64,1051
,,,,,,
Guarda,694,112,28,31,122,876
,,,,,,
Dentro Localidade,303,41,9,9,40,365
,,,,,,
Fora Localidade,391,71,19,22,82,511
,,,,,,
Leiria,3122,317,84,97,311,3873
,,,,,,
Dentro Localidade,2101,174,35,38,163,2471
,,,,,,
Fora Localidade,1021,143,49,59,148,1402
,,,,,,
Viseu,1703,152,49,51,140,2274
,,,,,,
Dentro Localidade,951,65,11,11,65,1164
,,,,,,
Fora Localidade,752,87,38,40,75,1110
,,,,,,
