,,,,,,
,Feminino,,Masculino,,Total (1),
,,,,,,
,2001,2002,2001,2002,2001,2002
Feridos leves,3213,3191,3323,3315,6589,6527
,,,,,,
,,,,,,
<=5,131,149,223,211,355,362
,,,,,,
6-9,210,215,292,314,502,529
,,,,,,
10-14,264,243,297,293,562,536
,,,,,,
15-19,208,247,181,152,389,400
,,,,,,
20-24,196,165,192,192,388,358
,,,,,,
25-29,151,153,189,198,341,352
,,,,,,
30-34,155,178,164,187,320,365
,,,,,,
35-39,160,144,171,191,331,335
,,,,,,
40-44,181,165,167,184,348,349
,,,,,,
45-49,166,149,190,167,356,316
,,,,,,
50-54,164,193,184,165,350,358
,,,,,,
55-59,182,168,154,165,337,335
,,,,,,
60-64,204,193,186,167,391,360
,,,,,,
>=65,809,798,684,689,1495,1490
,,,,,,
Não def.,32,31,49,40,124,82
Total de vítimas,3757,3646,4170,4061,7983,7730
,,,,,,
,,,,,,
<=5,152,161,256,238,409,401
,,,,,,
6-9,244,243,338,348,582,591
,,,,,,
10-14,288,274,344,346,633,620
,,,,,,
15-19,232,265,209,171,441,437
,,,,,,
20-24,214,180,223,216,438,397
,,,,,,
25-29,169,171,228,236,398,408
,,,,,,
30-34,178,192,211,224,390,416
,,,,,,
35-39,175,161,229,238,404,399
,,,,,,
40-44,198,187,219,233,417,420
,,,,,,
45-49,192,170,247,224,439,394
,,,,,,
50-54,187,219,236,201,425,420
,,,,,,
55-59,212,193,197,207,410,402
,,,,,,
60-64,244,222,224,211,469,433
,,,,,,
>=65,1034,974,932,913,1968,1890
,,,,,,
Não def.,38,34,77,55,160,102
