,,Acidentes,,,,
,Acidentes c/,com mortos,Acidentes,,Feridos,Feridos
,,,,Mortos,,
,vítimas,e/ou f.,com mortos,,graves,leves
,,,,,,
,,graves,,,,
REGIÃO NORTE,10912,1024,338,372,909,14180
,,,,,,
Dentro Localidade,8131,726,193,207,656,10160
,,,,,,
Fora Localidade,2781,298,145,165,253,4020
,,,,,,
Braga,3163,337,100,105,317,4211
,,,,,,
Dentro Localidade,2470,275,73,77,262,3188
,,,,,,
Fora Localidade,693,62,27,28,55,1023
,,,,,,
Bragança,435,72,27,31,69,592
,,,,,,
Dentro Localidade,205,39,9,11,37,235
,,,,,,
Fora Localidade,230,33,18,20,32,357
,,,,,,
Porto,5471,414,137,152,347,6982
,,,,,,
Dentro Localidade,4400,307,76,80,273,5415
,,,,,,
Fora Localidade,1071,107,61,72,74,1567
,,,,,,
V. Castelo,1064,106,43,49,93,1383
,,,,,,
Dentro Localidade,611,48,22,25,34,781
,,,,,,
Fora Localidade,453,58,21,24,59,602
,,,,,,
V. Real,779,95,31,35,83,1012
,,,,,,
Dentro Localidade,445,57,13,14,50,541
,,,,,,
Fora Localidade,334,38,18,21,33,471
,,,,,,
