,,,CONTRA-ORDENAÇÕES,,,
,,,M. Graves,Graves,Leves,Total
,,Braga,1526,9856,63314,74696
REGIÃO,,Bragança,337,4045,12330,16712
NORTE,,Porto,1980,29852,178586,210418
,,V. Castelo,820,7139,24836,32795
,,Vila Real,515,5413,16454,22382
,,,5178,56305,295520,357003
,,Aveiro,1933,14481,62118,78532
,,C. Branco,406,6105,19438,25949
REGIÃO,,Coimbra,845,8846,56085,65776
CENTRO,,Guarda,491,6331,18467,25289
,,Leiria,2548,16594,51297,70439
,,Viseu,521,7617,39280,47418
,,,6744,59974,246685,313403
REGIÃO DE,,Lisboa,5720,53925,256159,315804
LISBOA,,Santarém,1993,12991,45346,60330
E VALE TEJO,,Setúbal,2454,17689,56405,76548
,,,10167,84605,357910,452682
,,Beja,506,5183,16908,22597
REGIÃO DO,,Évora,252,2492,10491,13235
ALENTEJO,,Portalegre,462,5276,11454,17192
,,,1220,12951,38853,53024
R. ALGARVE,,Faro,998,10714,48585,60297
TOTAL,,,24307,224549,987553,1236409
,,,,,,
