,,,,,,
,Até 1 ano,,1 ano,,2 anos,
,,,,,,
,,,,,,
,2001,2002,2001,2002,2001,2002
Ciclomotores,232,166,538,367,671,417
,,,,,,
Motociclos,548,385,826,687,751,585
,,,,,,
Veículos ligeiros,2565,2263,5501,4458,5154,4886
,,,,,,
Veículos pesados,114,88,300,243,311,266
,,,,,,
Sub-total,3459,2902,7165,5755,6887,6154
,,,,,,
,,,,,,
,3 anos,,4 anos,,5 a 9 anos,
,,,,,,
,,,,,,
,2001,2002,2001,2002,2001,2002
Ciclomotores,613,501,427,455,1663,1422
,,,,,,
Motociclos,624,536,425,468,1292,1200
,,,,,,
Veículos ligeiros,4589,4803,3733,4428,16756,16104
,,,,,,
Veículos pesados,288,321,256,294,937,854
,,,,,,
Sub-total,6114,6161,4841,5645,20648,19580
,,,,,,
,,,,,,
,10 a 14 anos,,15 a 19 anos,,>=20 anos,
,,,,,,
,,,,,,
,2001,2002,2001,2002,2001,2002
Ciclomotores,1735,1643,352,318,392,380
,,,,,,
Motociclos,390,458,46,69,62,68
,,,,,,
Veículos ligeiros,10255,11423,2341,2735,860,843
,,,,,,
Veículos pesados,799,742,230,237,207,203
,,,,,,
Sub-total,13179,14266,2969,3359,1521,1494
,,,,,,
