,,,,,,,,,
,1998,1999,99/98,2000,00/99,2001,01/00,2002,02/01
,,,,,,,,,
Vítimas mortais,1865,1750,-115,1629,-121,1466,-163,1469,3
,,,,,,,,,
<=5,40,34,-6,30,-4,15,-15,15,0
6-9,24,20,-4,16,-4,11,-5,15,4
10-14,47,17,-30,20,3,23,3,25,2
15-19,176,146,-30,130,-16,119,-11,111,-8
20-24,276,266,-10,229,-37,216,-13,191,-25
25-29,205,208,3,180,-28,176,-4,169,-7
30-34,137,142,5,132,-10,101,-31,129,28
35-39,146,116,-30,112,-4,102,-10,112,10
40-44,111,103,-8,106,3,94,-12,113,19
45-49,77,111,34,100,-11,78,-22,92,14
50-54,103,96,-7,97,1,71,-26,75,4
55-59,86,77,-9,63,-14,72,9,66,-6
60-64,101,99,-2,99,0,69,-30,71,2
65-69,113,79,-34,106,27,83,-23,83,0
70-74,85,84,-1,87,3,75,-12,71,-4
>=75,134,137,3,106,-31,124,18,110,-14
Não def.,4,15,11,16,1,37,21,21,-16
Feridos Graves,8177,7697,-480,6918,-779,5797,-1121,4770,-1027
,,,,,,,,,
<=5,194,179,-15,142,-37,108,-34,102,-6
6-9,212,185,-27,164,-21,125,-39,109,-16
10-14,275,219,-56,198,-21,162,-36,162,0
15-19,1039,904,-135,780,-124,651,-129,475,-176
20-24,1327,1214,-113,1176,-38,876,-300,632,-244
25-29,894,919,25,816,-103,714,-102,592,-122
30-34,672,597,-75,582,-15,504,-78,459,-45
35-39,553,550,-3,476,-74,443,-33,348,-95
40-44,446,457,11,435,-22,338,-97,309,-29
45-49,378,376,-2,351,-25,326,-25,283,-43
50-54,389,371,-18,314,-57,256,-58,221,-35
55-59,339,308,-31,261,-47,207,-54,210,3
60-64,373,356,-17,273,-83,235,-38,164,-71
65-69,331,351,20,285,-66,229,-56,208,-21
70-74,298,253,-45,232,-21,230,-2,169,-61
>=75,399,382,-17,339,-43,282,-57,232,-50
Não def.,58,76,18,94,18,111,17,95,-16
