,,,,,,,,
,Vítimas mortais,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002
,,,,,,,,
Com capacete,33,24,200,128,1558,1337,1791,1489
,,,,,,,,
Com cinto de segurança,201,231,1032,857,11294,11742,12527,12830
,,,,,,,,
Com cadeira criança frente,0,1,2,3,65,62,67,66
,,,,,,,,
Com cadeira criança trás,4,1,12,16,345,415,361,432
,,,,,,,,
Sem cadeira criança,4,6,16,15,213,205,233,226
,,,,,,,,
Sem uso cinto/capacete,88,70,277,192,2148,1809,2513,2071
,,,,,,,,
Não definido,2,7,26,28,385,432,413,467
,,,,,,,,
Total,332,340,1565,1239,16008,16002,17905,17581
