,,,,,,,,,,,,
,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,vítimas,,mortais,,graves,,Feridos leves,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2001,2002,2001,2002,2001,2002,2001,2002,2001,2002,2001,2002
,,,,,,,,,,,,
,,,,,,,,,,,,
2ªFeira,6255,6023,201,185,768,646,7283,7046,8252,7877,"3,2","3,1"
,,,,,,,,,,,,
3ªFeira,5515,5843,156,183,759,606,6396,6943,7311,7732,"2,8","3,1"
,,,,,,,,,,,,
4ªFeira,5720,5665,190,168,670,578,6628,6720,7488,7466,"3,3","3,0"
,,,,,,,,,,,,
5ªFeira,5739,5595,191,155,662,598,6586,6652,7439,7405,"3,3","2,8"
,,,,,,,,,,,,
6ªFeira,6624,6491,199,244,898,717,7801,7875,8898,8836,"3,0","3,8"
,,,,,,,,,,,,
Sábado,6394,6316,262,232,1000,776,8048,7979,9310,8987,"4,1","3,7"
,,,,,,,,,,,,
Domingo,6274,6286,267,302,1040,849,8505,8600,9812,9751,"4,3","4,8"
,,,,,,,,,,,,
Total,42521,42219,1466,1469,5797,4770,51247,51815,58510,58054,"3,4","3,5"
,,,,,,,,,,,,
