,,Acidentes c/,,Feridos,Feridos,Total de
,,,Mortos,,,
,,vítimas,,graves,leves,vítimas
,,,,,,
,Atropelamentos,1467,69,175,1385,1629
REGIÃO,Colisão,6943,187,610,9146,9943
CENTRO,Despiste,3938,149,324,4859,5332
,Total,12348,405,1109,15390,16904
,Atropelamentos,433,22,56,417,495
Aveiro,Colisão,2457,72,216,3120,3408
,Despiste,840,34,46,1001,1081
,Total,3730,128,318,4538,4984
,Atropelamentos,73,4,17,58,79
C. Branco,Colisão,283,7,42,389,438
,Despiste,255,18,37,306,361
,Total,611,29,96,753,878
,Atropelamentos,332,17,19,331,367
Coimbra,Colisão,1313,31,65,1696,1792
,Despiste,843,21,38,1049,1108
,Total,2488,69,122,3076,3267
,Atropelamentos,89,7,15,74,96
Guarda,Colisão,278,8,59,410,477
,Despiste,327,16,48,392,456
,Total,694,31,122,876,1029
,Atropelamentos,342,12,45,316,373
Leiria,Colisão,1735,51,171,2287,2509
,Despiste,1045,34,95,1270,1399
,Total,3122,97,311,3873,4281
,Atropelamentos,198,7,23,189,219
Viseu,Colisão,877,18,57,1244,1319
,Despiste,628,26,60,841,927
,Total,1703,51,140,2274,2465
