,,,Feridos graves,,,,,
,Vítimas mortais,,,,Feridos leves,,Total de vítimas,
,,,,,,,,
,,,,2002,,,,
,2001,2002,2001,,2001,2002,2001,2002
,,,,723,,,,
Dia,174,178,848,,10541,10657,11563,11558
,,,,9,,,,
Com sol encadeante,2,2,14,,76,69,92,80
,,,,714,,,,
Em pleno dia,172,176,834,,10465,10588,11471,11478
,,,,515,,,,
Noite,158,162,716,,5450,5293,6324,5970
,,,,271,,,,
De noite em via com iluminação,52,64,351,,3283,3185,3686,3520
De noite em via sem iluminação,106,98,365,244,2167,2108,2638,2450
,,,,1239,,,,
Total (1),332,340,1565,,16008,16002,17905,17581
